"diplomacy_id","dynasty_id","partner_tr","partner_en","partner_type","relation_tr","relation_en","period","notes_tr","notes_en","narrative_tr","narrative_en","strategic_impact_tr","legacy_tr"
"1","1","Sâsânî İmparatorluğu","Sassanid Empire","İmparatorluk","Savaş/Fetih","War/Conquest","633-651","Kādisiye ve Nihâvend savaşları; İran'ın fethi","Battles of Qadisiyyah and Nihavand; conquest of Iran","Hz. Ömer döneminde başlayan Sâsânî İran'ın fethi, İslam tarihinin en belirleyici askeri kampanyasıdır. Kādisiye (636) ve Nihâvend (642) savaşları altı yüz yıllık Sâsânî İmparatorluğu'nu yıkarak Mezopotamya, İran ve Orta Asya'yı İslam dünyasına açtı. Bu fetih İslam medeniyetinin Arap çekirdeğinden kozmopolit bir imparatorluğa dönüşümünün başlangıcıdır.","The conquest of Sasanian Iran beginning under Caliph Umar was the most defining military campaign of Islamic history. The battles of Qadisiyyah (636) and Nihavand (642) destroyed the six-century Sasanian Empire, opening Mesopotamia, Iran and Central Asia to the Islamic world. This conquest marked the beginning of Islamic civilization's transformation from an Arab core to a cosmopolitan empire.","İran'ın zenginliği ve idari geleneği Müslüman devlet yapısını temelden dönüştürdü.","Fars kültürü İslam medeniyetinin ayrılmaz parçası haline geldi; divân sistemi ve vezirlik kurumu Sâsânî mirasıdır."
"2","1","Bizans İmparatorluğu","Byzantine Empire","İmparatorluk","Savaş/Fetih","War/Conquest","634-641","Suriye, Filistin, Mısır'ın fethi","Conquest of Syria, Palestine, Egypt","İslam'ın ilk on yılındaki Bizans fetihleri — Yarmûk (636) ile başlayıp Suriye, Filistin ve Mısır'ın alınmasıyla devam eden süreç — Akdeniz dünyasının siyasi haritasını kalıcı olarak değiştirdi. Bizans bu toprakları bir daha geri alamadı. Bu fetihler İslam'ı küçük bir Arap harekâtından dünya gücüne dönüştüren yapısal kırılma noktasıdır.","Islam's first decade of Byzantine conquests — beginning with Yarmouk (636) and continuing with the capture of Syria, Palestine and Egypt — permanently changed the Mediterranean's political map. Byzantium never recovered these territories. These conquests were the structural turning point transforming Islam from a small Arab movement to a world power.","Bizans'ın en zengin eyaletleri kaybetmesi imparatorluğu kalıcı olarak zayıflattı.","Kudüs İslam'ın üçüncü kutsal şehri, Mısır İslam dünyasının en zengin vilayeti oldu."
"3","2","Bizans İmparatorluğu","Byzantine Empire","İmparatorluk","Savaş/Diplomasi","War/Diplomacy","661-750","İstanbul kuşatmaları (674-678, 717-718); sınır savaşları","Sieges of Constantinople; border wars","Emevî-Bizans ilişkisi yedi yüzyıl sürecek İslam-Hristiyan cepheleşmesinin temelini oluşturdu. İstanbul kuşatmaları (674-678, 717-718) başarısız olsa da İslam'ın Avrupa'ya yayılma iradesini gösterdi. Sınır bölgesinde (sugûr/thughûr) oluşan tampon bölge askeri ve kültürel bir etkileşim alanı haline geldi.","The Umayyad-Byzantine relationship formed the foundation of an Islamic-Christian confrontation that would last seven centuries. Though the sieges of Constantinople failed, they demonstrated Islam's will to expand into Europe. The frontier zone (thughur) became an area of military and cultural interaction.","İstanbul kuşatmalarının başarısızlığı İslam'ın Avrupa'ya kara yoluyla yayılma stratejisini sınırladı.","Sugûr/thughûr sınır sistemi İslam askeri-idari geleneğinin önemli bir kurumu haline geldi."
"4","2","Tang Çin Hanedanı","Tang Dynasty China","İmparatorluk","Savaş/Ticaret","War/Trade","700-751","Talas Savaşı (751); İpek Yolu ticareti","Battle of Talas (751); Silk Road trade","Tang Çin'i ile Emevîler arasındaki ilişki 751 Talas Savaşı'yla zirveye ulaştı. Bu savaş İslam ile Çin arasındaki tek büyük askeri çatışmaydı ve kâğıt yapım teknolojisinin İslam dünyasına transferine yol açtı. Savaş sonrası İpek Yolu ticareti devam etti; çatışmadan çok ticari işbirliği ilişkilere damga vurdu.","The Umayyad-Tang China relationship peaked with the 751 Battle of Talas. This was the only major military clash between Islam and China, leading to the transfer of papermaking technology to the Islamic world. Post-battle, Silk Road trade continued; commercial cooperation rather than conflict defined relations.","Talas sonrası Orta Asya kalıcı olarak İslam etki alanına girdi.","Kâğıt teknolojisi transferi İslam entelektüel devriminin fiziksel altyapısını sağladı."
"5","3","Bizans İmparatorluğu","Byzantine Empire","İmparatorluk","Savaş/Diplomasi","War/Diplomacy","750-1055","Esir değişimi; sınır garnizonu sistemi (sugūr/thughūr)","Prisoner exchanges; frontier garrison system","Abbâsî-Bizans sınırı yüzyıllar boyunca düzenli savaş ve diplomasi döngüsüyle şekillendi. Esir değişimi (fidye) anlaşmaları, her iki tarafın da resmi olarak tanıdığı diplomatik bir kanal oluşturuyordu. Sınır garnizon sistemi hem askeri hem de kültürel bir etkileşim alanı yaratarak İslam-Hristiyan dünyaları arasında bilgi ve teknoloji akışına zemin hazırladı.","The Abbasid-Byzantine frontier was shaped by centuries of regular war and diplomacy cycles. Prisoner exchange (ransom) agreements created a diplomatic channel officially recognized by both sides. The frontier garrison system created both military and cultural interaction zones, facilitating knowledge and technology flow between Islamic and Christian worlds.","Sınır savunması Abbâsî askeri harcamalarının önemli kalemiydi; thughûr şehirleri stratejik öneme sahipti.","Esir değişimi diplomasisi uluslararası hukukun erken bir formu olarak İslam-Hristiyan ilişkilerini düzenledi."
"6","3","Karolenj İmparatorluğu","Carolingian Empire","İmparatorluk","Diplomasi","Diplomacy","797-809","Hârûnürreşîd-Charlemagne ittifakı; fil hediyesi","Harun-Charlemagne alliance; elephant gift","Hârûnürreşîd ile Charlemagne arasındaki diplomatik ilişki Ortaçağ'ın en ünlü devletlerarası diyaloglarından biridir. Abbâsî halifesinin Franklara gönderdiği fil (Ebu'l-Abbas) hediyesi, Hristiyan Avrupa'nın İslam dünyasıyla doğrudan diplomatik temasın sembolüdür. Her iki lider de ortak düşmanları olan Endülüs Emevîleri ve Bizans'a karşı stratejik yakınlaşma aradı.","The diplomacy between Harun al-Rashid and Charlemagne was one of the medieval period's most famous interstate dialogues. The elephant (Abu'l-Abbas) gifted by the Abbasid caliph to the Franks symbolized direct diplomatic contact between Christian Europe and the Islamic world. Both leaders sought strategic rapprochement against common enemies: the Umayyads of al-Andalus and Byzantium.","Ortak düşmanlara karşı stratejik ittifak arayışı her iki taraf için de siyasi avantaj sağladı.","Hârûn-Charlemagne ilişkisi İslam-Hristiyan diplomatik geleneğinin kurucu örneği olarak tarihe geçti."
"7","4","Kastilya Krallığı","Kingdom of Castile","Krallık","Savaş/Diplomasi","War/Diplomacy","756-1031","Reconquista savaşları; dönemsel barış","Reconquista wars; periodic peace","Endülüs Emevîleri ile Kastilya arasındaki asırlık çatışma (Reconquista), İber Yarımadası'nın siyasi haritasını belirleyen temel dinamikti. Savaş dönemleri arasında barış, ticaret ve kültürel alışveriş de yaşanıyordu. Müslüman, Hristiyan ve Yahudi topluluklarının birlikte yaşadığı 'convivencia' geleneği bu karmaşık ilişkinin kültürel ürünüydü.","The centuries-long conflict between the Umayyads of al-Andalus and Castile (Reconquista) was the fundamental dynamic shaping the Iberian Peninsula's political map. Between war periods, peace, trade and cultural exchange also occurred. The 'convivencia' tradition of Muslim, Christian and Jewish coexistence was the cultural product of this complex relationship.","Reconquista İber Yarımadası'ndaki güç dengesini kademeli olarak Hristiyanlar lehine değiştirdi.","Convivencia geleneği Avrupa'nın en verimli kültürlerarası diyalog deneyimlerinden biri; Toledo tercüme hareketi bu ortamın ürünü."
"8","27","Bizans İmparatorluğu","Byzantine Empire","İmparatorluk","Diplomasi/Ticaret","Diplomacy/Trade","969-1171","Sicilya ve Kuzey Afrika meseleleri; ticaret anlaşmaları","Sicily and North Africa issues; trade agreements","Fâtımîler Bizans ile pragmatik bir ilişki sürdürdü — Akdeniz ticaretinin devamlılığı her iki tarafın da çıkarınaydı. Sicilya ve Kuzey Afrika'daki çıkar çatışmalarına rağmen ticaret anlaşmaları diplomatik kanalları açık tuttu.","The Fatimids maintained a pragmatic relationship with Byzantium — continuation of Mediterranean trade served both sides' interests. Despite conflicts of interest in Sicily and North Africa, trade agreements kept diplomatic channels open.","Akdeniz ticaretinin sürdürülmesi her iki devlet için stratejik önceliktı.","Pragmatik ticaret diplomasisi ideolojik farklılıkları aşan İslam-Bizans ilişki modelini gösterir."
"9","27","Haçlı Devletleri","Crusader States","Krallık","Savaş","War","1099-1171","Kudüs Haçlı Krallığı ile sürekli savaş","Continuous war with Crusader Kingdom of Jerusalem","Fâtımî-Haçlı çatışması İslam dünyasının 11. yüzyıl sonundaki siyasi parçalanmasının doğrudan sonucudur. Fâtımîlerin zayıflığı Haçlıların Kudüs'ü almasını kolaylaştırdı. İslam dünyasındaki Sünnî-Şiî bölünmüşlüğü ortak düşmana karşı birleşmeyi engelledi.","The Fatimid-Crusader conflict was a direct result of the Islamic world's political fragmentation at the end of the 11th century. Fatimid weakness facilitated the Crusader capture of Jerusalem. The Sunni-Shia division in the Islamic world prevented unity against the common enemy.","Kudüs'ün kaybı İslam dünyasında birleşme çağrısını tetikledi; Zengîler ve Eyyûbîler bu çağrıya yanıt verdi.","Haçlı şoku İslam siyasi düşüncesinde 'cihat' kavramının yeniden canlanmasını sağladı."
"10","28","Haçlı Devletleri","Crusader States","Krallık","Savaş/Diplomasi","War/Diplomacy","1171-1260","Salâhaddîn'in Kudüs'ü geri alması; Richard ile müzakere","Saladin's reconquest of Jerusalem; negotiation with Richard","Salâhaddîn'in Haçlılara karşı kampanyası İslam tarihinin en saygın askeri-diplomatik başarılarından biridir. Hıttîn zaferi ve Kudüs'ün barışçıl geri alınması, ardından İngiltere Kralı Richard ile yapılan müzakereler Salâhaddîn'i hem İslam hem Batı dünyasında efsanevi bir figüre dönüştürdü.","Saladin's campaign against the Crusaders was one of the most respected military-diplomatic achievements in Islamic history. The Hattin victory, peaceful reconquest of Jerusalem, and negotiations with King Richard of England made Saladin a legendary figure in both Islamic and Western worlds.","Kudüs'ün geri alınması İslam dünyasının siyasi birleşme kapasitesini kanıtladı.","Salâhaddîn'in şövalye ruhu hem İslam hem Batı kültüründe ideal hükümdar modelini şekillendirdi."
