"city_id","name_tr","name_en","lat","lon","year_ce","population_estimate","dynasty_id","role_tr","role_en","narrative_tr","narrative_en","cultural_identity_tr","geographic_advantage_tr"
"1","Bağdat","Baghdad","33.31","44.37","800","1000000","3","Hilafet başkenti","Caliphate capital","Bağdat, 762'de Abbâsî halifesi Mansûr tarafından 'Medînetü's-Selâm' adıyla kurulan ve beş yüz yıldan fazla İslam medeniyetinin tartışılmaz başkenti olan şehirdir. Beytü'l-Hikme'nin merkezi, Binbir Gece Masalları'nın sahne aldığı kozmopolit metropol, dünyanın en büyük kütüphanelerinin ve hastanelerinin evi olarak İslam'ın altın çağının simgesiydi. 1258 Moğol yıkımı şehrin entelektüel zenginliğine ağır darbe vursa da Bağdat asla tamamen önemini kaybetmedi.","Baghdad, founded in 762 by Abbasid caliph al-Mansur as 'City of Peace,' was the undisputed capital of Islamic civilization for over five centuries. As the center of the House of Wisdom, the cosmopolitan metropolis of One Thousand and One Nights, and home to the world's greatest libraries and hospitals, it symbolized Islam's golden age. Though the 1258 Mongol destruction dealt a heavy blow, Baghdad never entirely lost its importance.","Arap, Fars, Türk ve Hint kültürlerinin buluşma noktası; İslam felsefesi, bilimi ve edebiyatının beşiği. Dört Sünnî mezhep, Mu'tezile ve Eş'arîlik burada şekillendi.","Dicle ve Fırat arasındaki stratejik konumu; Horasan, Basra, Şam ve Mısır yollarının kesişim noktası."
"1","Bağdat","Baghdad","33.31","44.37","1000","500000","82","Büveyhî kontrolünde","Under Buyid control","Bağdat, 762'de Abbâsî halifesi Mansûr tarafından 'Medînetü's-Selâm' adıyla kurulan ve beş yüz yıldan fazla İslam medeniyetinin tartışılmaz başkenti olan şehirdir. Beytü'l-Hikme'nin merkezi, Binbir Gece Masalları'nın sahne aldığı kozmopolit metropol, dünyanın en büyük kütüphanelerinin ve hastanelerinin evi olarak İslam'ın altın çağının simgesiydi. 1258 Moğol yıkımı şehrin entelektüel zenginliğine ağır darbe vursa da Bağdat asla tamamen önemini kaybetmedi.","Baghdad, founded in 762 by Abbasid caliph al-Mansur as 'City of Peace,' was the undisputed capital of Islamic civilization for over five centuries. As the center of the House of Wisdom, the cosmopolitan metropolis of One Thousand and One Nights, and home to the world's greatest libraries and hospitals, it symbolized Islam's golden age. Though the 1258 Mongol destruction dealt a heavy blow, Baghdad never entirely lost its importance.","Arap, Fars, Türk ve Hint kültürlerinin buluşma noktası; İslam felsefesi, bilimi ve edebiyatının beşiği. Dört Sünnî mezhep, Mu'tezile ve Eş'arîlik burada şekillendi.","Dicle ve Fırat arasındaki stratejik konumu; Horasan, Basra, Şam ve Mısır yollarının kesişim noktası."
"1","Bağdat","Baghdad","33.31","44.37","1200","300000","3","Geç Abbâsî","Late Abbasid","Bağdat, 762'de Abbâsî halifesi Mansûr tarafından 'Medînetü's-Selâm' adıyla kurulan ve beş yüz yıldan fazla İslam medeniyetinin tartışılmaz başkenti olan şehirdir. Beytü'l-Hikme'nin merkezi, Binbir Gece Masalları'nın sahne aldığı kozmopolit metropol, dünyanın en büyük kütüphanelerinin ve hastanelerinin evi olarak İslam'ın altın çağının simgesiydi. 1258 Moğol yıkımı şehrin entelektüel zenginliğine ağır darbe vursa da Bağdat asla tamamen önemini kaybetmedi.","Baghdad, founded in 762 by Abbasid caliph al-Mansur as 'City of Peace,' was the undisputed capital of Islamic civilization for over five centuries. As the center of the House of Wisdom, the cosmopolitan metropolis of One Thousand and One Nights, and home to the world's greatest libraries and hospitals, it symbolized Islam's golden age. Though the 1258 Mongol destruction dealt a heavy blow, Baghdad never entirely lost its importance.","Arap, Fars, Türk ve Hint kültürlerinin buluşma noktası; İslam felsefesi, bilimi ve edebiyatının beşiği. Dört Sünnî mezhep, Mu'tezile ve Eş'arîlik burada şekillendi.","Dicle ve Fırat arasındaki stratejik konumu; Horasan, Basra, Şam ve Mısır yollarının kesişim noktası."
"1","Bağdat","Baghdad","33.31","44.37","1258","50000","","Moğol yıkımı sonrası","After Mongol destruction","Bağdat, 762'de Abbâsî halifesi Mansûr tarafından 'Medînetü's-Selâm' adıyla kurulan ve beş yüz yıldan fazla İslam medeniyetinin tartışılmaz başkenti olan şehirdir. Beytü'l-Hikme'nin merkezi, Binbir Gece Masalları'nın sahne aldığı kozmopolit metropol, dünyanın en büyük kütüphanelerinin ve hastanelerinin evi olarak İslam'ın altın çağının simgesiydi. 1258 Moğol yıkımı şehrin entelektüel zenginliğine ağır darbe vursa da Bağdat asla tamamen önemini kaybetmedi.","Baghdad, founded in 762 by Abbasid caliph al-Mansur as 'City of Peace,' was the undisputed capital of Islamic civilization for over five centuries. As the center of the House of Wisdom, the cosmopolitan metropolis of One Thousand and One Nights, and home to the world's greatest libraries and hospitals, it symbolized Islam's golden age. Though the 1258 Mongol destruction dealt a heavy blow, Baghdad never entirely lost its importance.","Arap, Fars, Türk ve Hint kültürlerinin buluşma noktası; İslam felsefesi, bilimi ve edebiyatının beşiği. Dört Sünnî mezhep, Mu'tezile ve Eş'arîlik burada şekillendi.","Dicle ve Fırat arasındaki stratejik konumu; Horasan, Basra, Şam ve Mısır yollarının kesişim noktası."
"1","Bağdat","Baghdad","33.31","44.37","1400","100000","106","Timurlu/Celayirli","Timurid/Jalairid","Bağdat, 762'de Abbâsî halifesi Mansûr tarafından 'Medînetü's-Selâm' adıyla kurulan ve beş yüz yıldan fazla İslam medeniyetinin tartışılmaz başkenti olan şehirdir. Beytü'l-Hikme'nin merkezi, Binbir Gece Masalları'nın sahne aldığı kozmopolit metropol, dünyanın en büyük kütüphanelerinin ve hastanelerinin evi olarak İslam'ın altın çağının simgesiydi. 1258 Moğol yıkımı şehrin entelektüel zenginliğine ağır darbe vursa da Bağdat asla tamamen önemini kaybetmedi.","Baghdad, founded in 762 by Abbasid caliph al-Mansur as 'City of Peace,' was the undisputed capital of Islamic civilization for over five centuries. As the center of the House of Wisdom, the cosmopolitan metropolis of One Thousand and One Nights, and home to the world's greatest libraries and hospitals, it symbolized Islam's golden age. Though the 1258 Mongol destruction dealt a heavy blow, Baghdad never entirely lost its importance.","Arap, Fars, Türk ve Hint kültürlerinin buluşma noktası; İslam felsefesi, bilimi ve edebiyatının beşiği. Dört Sünnî mezhep, Mu'tezile ve Eş'arîlik burada şekillendi.","Dicle ve Fırat arasındaki stratejik konumu; Horasan, Basra, Şam ve Mısır yollarının kesişim noktası."
"1","Bağdat","Baghdad","33.31","44.37","1600","150000","124","Osmanlı vilayeti","Ottoman province","Bağdat, 762'de Abbâsî halifesi Mansûr tarafından 'Medînetü's-Selâm' adıyla kurulan ve beş yüz yıldan fazla İslam medeniyetinin tartışılmaz başkenti olan şehirdir. Beytü'l-Hikme'nin merkezi, Binbir Gece Masalları'nın sahne aldığı kozmopolit metropol, dünyanın en büyük kütüphanelerinin ve hastanelerinin evi olarak İslam'ın altın çağının simgesiydi. 1258 Moğol yıkımı şehrin entelektüel zenginliğine ağır darbe vursa da Bağdat asla tamamen önemini kaybetmedi.","Baghdad, founded in 762 by Abbasid caliph al-Mansur as 'City of Peace,' was the undisputed capital of Islamic civilization for over five centuries. As the center of the House of Wisdom, the cosmopolitan metropolis of One Thousand and One Nights, and home to the world's greatest libraries and hospitals, it symbolized Islam's golden age. Though the 1258 Mongol destruction dealt a heavy blow, Baghdad never entirely lost its importance.","Arap, Fars, Türk ve Hint kültürlerinin buluşma noktası; İslam felsefesi, bilimi ve edebiyatının beşiği. Dört Sünnî mezhep, Mu'tezile ve Eş'arîlik burada şekillendi.","Dicle ve Fırat arasındaki stratejik konumu; Horasan, Basra, Şam ve Mısır yollarının kesişim noktası."
"2","Kahire","Cairo","30.04","31.24","970","200000","27","Fâtımî başkenti","Fatimid capital","Kahire, 969'da Fâtımîlerin başkenti olarak kurulan ve bin yılı aşkın süredir İslam dünyasının en büyük şehirlerinden biri olan metropoldür. el-Ezher Üniversitesi'nin merkezi, Memlûk mimarisinin başkenti ve İslam kültür hayatının kalbi olarak asırlardır İslam dünyasının entelektüel ve kültürel ağırlık merkezi rolünü üstlenmektedir.","Cairo, founded as the Fatimid capital in 969, has been one of the Islamic world's largest cities for over a millennium. As center of al-Azhar University, capital of Mamluk architecture, and heart of Islamic cultural life, it has served as the intellectual and cultural center of gravity of the Islamic world for centuries.","Fâtımî, Eyyûbî, Memlûk ve Osmanlı katmanlarının iç içe geçtiği kozmopolit kültür; Arap edebiyatı ve sanatının merkezi.","Nil Vadisi'nin tarımsal zenginliği ve Akdeniz-Kızıldeniz ticaret yollarının kavşağı."
"2","Kahire","Cairo","30.04","31.24","1200","400000","28","Eyyûbî başkenti","Ayyubid capital","Kahire, 969'da Fâtımîlerin başkenti olarak kurulan ve bin yılı aşkın süredir İslam dünyasının en büyük şehirlerinden biri olan metropoldür. el-Ezher Üniversitesi'nin merkezi, Memlûk mimarisinin başkenti ve İslam kültür hayatının kalbi olarak asırlardır İslam dünyasının entelektüel ve kültürel ağırlık merkezi rolünü üstlenmektedir.","Cairo, founded as the Fatimid capital in 969, has been one of the Islamic world's largest cities for over a millennium. As center of al-Azhar University, capital of Mamluk architecture, and heart of Islamic cultural life, it has served as the intellectual and cultural center of gravity of the Islamic world for centuries.","Fâtımî, Eyyûbî, Memlûk ve Osmanlı katmanlarının iç içe geçtiği kozmopolit kültür; Arap edebiyatı ve sanatının merkezi.","Nil Vadisi'nin tarımsal zenginliği ve Akdeniz-Kızıldeniz ticaret yollarının kavşağı."
"2","Kahire","Cairo","30.04","31.24","1340","600000","30","Memlûk zirvesi","Mamluk peak","Kahire, 969'da Fâtımîlerin başkenti olarak kurulan ve bin yılı aşkın süredir İslam dünyasının en büyük şehirlerinden biri olan metropoldür. el-Ezher Üniversitesi'nin merkezi, Memlûk mimarisinin başkenti ve İslam kültür hayatının kalbi olarak asırlardır İslam dünyasının entelektüel ve kültürel ağırlık merkezi rolünü üstlenmektedir.","Cairo, founded as the Fatimid capital in 969, has been one of the Islamic world's largest cities for over a millennium. As center of al-Azhar University, capital of Mamluk architecture, and heart of Islamic cultural life, it has served as the intellectual and cultural center of gravity of the Islamic world for centuries.","Fâtımî, Eyyûbî, Memlûk ve Osmanlı katmanlarının iç içe geçtiği kozmopolit kültür; Arap edebiyatı ve sanatının merkezi.","Nil Vadisi'nin tarımsal zenginliği ve Akdeniz-Kızıldeniz ticaret yollarının kavşağı."
"2","Kahire","Cairo","30.04","31.24","1400","300000","31","Veba sonrası","After plague","Kahire, 969'da Fâtımîlerin başkenti olarak kurulan ve bin yılı aşkın süredir İslam dünyasının en büyük şehirlerinden biri olan metropoldür. el-Ezher Üniversitesi'nin merkezi, Memlûk mimarisinin başkenti ve İslam kültür hayatının kalbi olarak asırlardır İslam dünyasının entelektüel ve kültürel ağırlık merkezi rolünü üstlenmektedir.","Cairo, founded as the Fatimid capital in 969, has been one of the Islamic world's largest cities for over a millennium. As center of al-Azhar University, capital of Mamluk architecture, and heart of Islamic cultural life, it has served as the intellectual and cultural center of gravity of the Islamic world for centuries.","Fâtımî, Eyyûbî, Memlûk ve Osmanlı katmanlarının iç içe geçtiği kozmopolit kültür; Arap edebiyatı ve sanatının merkezi.","Nil Vadisi'nin tarımsal zenginliği ve Akdeniz-Kızıldeniz ticaret yollarının kavşağı."
