link_id,source_type,source_id,target_type,target_id,link_type,description_tr,description_en
1,dynasty,1,dynasty,2,succession,Râşidûn hilafetinin sona ermesiyle Emevîler iktidara geldi,The end of the Rashidun caliphate brought the Umayyads to power
2,dynasty,2,dynasty,3,succession,Emevî iktidarı Abbâsî devrimiyle yıkıldı,Umayyad power was overthrown by the Abbasid revolution
3,dynasty,3,dynasty,4,succession,Emevî prensi Abdurrahman İspanya'ya kaçarak Endülüs Emevî devletini kurdu,Umayyad prince Abd al-Rahman fled to Spain and founded the Andalusian Umayyad state
4,dynasty,2,dynasty,4,flight,Emevî prensi Abdurrahman Abbâsî devriminden kaçarak Endülüs'e sığındı,Umayyad prince Abd al-Rahman fled the Abbasid revolution to al-Andalus
5,dynasty,3,dynasty,82,delegation,Abbâsîler Horasan valiliğini Tâhirîlere bırakarak ilk otonom İran hanedanını yarattı,The Abbasids delegated Khurasan governorship to the Tahirids creating the first autonomous Iranian dynasty
6,dynasty,82,dynasty,84,conquest,Saffârî Ya'kūb Tâhirî Horasan'ını fethetti,Saffarid Ya'qub conquered Tahirid Khurasan
7,dynasty,84,dynasty,83,conquest,Sâmânîler Saffârîleri mağlup ederek Horasan'ın hakimi oldu,The Samanids defeated the Saffarids to become masters of Khurasan
8,dynasty,83,dynasty,158,succession,Gazneliler Sâmânî gulâm valiliğinden bağımsızlaştı,The Ghaznavids gained independence from Samanid ghulam governorship
9,dynasty,83,dynasty,90,conquest,Karahanlılar Sâmânîlerin Mâverâünnehir topraklarını fethetti,The Qarakhanids conquered Samanid Transoxiana
10,dynasty,158,dynasty,159,conquest,Gurlular Gazneli Lahor'u alarak hanedanı sona erdirdi,The Ghurids took Ghaznavid Lahore ending the dynasty
11,dynasty,159,dynasty,160,succession,Delhi Sultanlığı Gurlu gulâm valilerinin bağımsızlaşmasıyla kuruldu,The Delhi Sultanate was established when Ghurid ghulam governors gained independence
12,dynasty,160,dynasty,175,conquest,Bâbür Pânîpat'ta son Lodî sultanını yenerek Delhi'yi aldı,Babur defeated the last Lodi sultan at Panipat and took Delhi
13,dynasty,75,dynasty,91,conquest,Selçuklu Tuğrul Bey Büveyhî Bağdat'ını alarak Sünnî İslam'ın yeniden yükselişini başlattı,Seljuq Tughril Beg took Buyid Baghdad initiating the Sunni Islamic resurgence
14,dynasty,91,dynasty,89,succession,Hârezmşahlar Selçuklu vasallığından bağımsızlaşarak imparatorluk kurdu,The Khwarazm Shahs gained independence from Seljuq vassalage to build an empire
15,dynasty,89,dynasty,131,conquest,Cengiz Han Hârezmşah İmparatorluğu'nu yıkarak İslam dünyasını istila etti,Genghis Khan destroyed the Khwarazm Shah Empire invading the Islamic world
16,dynasty,131,dynasty,133,division,Moğol İmparatorluğu bölünerek İlhanlı devleti kuruldu,The Mongol Empire divided and the Il-Khanid state was established
17,dynasty,131,dynasty,134,division,Moğol İmparatorluğu bölünerek Altın Orda kuruldu,The Mongol Empire divided and the Golden Horde was established
18,dynasty,131,dynasty,132,division,Moğol İmparatorluğu bölünerek Çağatay Hanlığı kuruldu,The Mongol Empire divided and the Chagatai Khanate was established
19,dynasty,133,dynasty,142,succession,İlhanlı çöküşüyle Celâyirliler Bağdat ve Tebriz'de yükseldiler,The Jalayirids rose in Baghdad and Tabriz after the Il-Khanid collapse
20,dynasty,133,dynasty,140,succession,İlhanlı çöküşüyle Muzafferîler Fars'ta yükseldiler,The Muzaffarids rose in Fars after the Il-Khanid collapse
21,dynasty,132,dynasty,144,succession,Timur Çağatay Hanlığı'nı fiilen devraldı,Timur effectively took over the Chagatai Khanate
22,dynasty,144,dynasty,148,succession,Safevîler Timurlu İran'ının mirasçısı olarak yükseldiler,The Safavids rose as heirs of Timurid Iran
