person_id,dynasty_id,dynasty_name,sub_branch,full_name_original,short_name,kunya,nasab,laqab,title,role,reign_start_hijri,reign_end_hijri,reign_start_ce,reign_end_ce,death_date_hijri,death_date_ce,death_type,parent_tribe,region,predecessor_ruler,successor_ruler,relationship_to_prev,notes,historical_period,religious_detail,reign_duration_years,reign_order,death_category,geographic_zone,ethnic_tags,governance_detail,capital_lat,capital_lon,century_active,is_founder,is_last_ruler,succession_type
1-001,1,Râşidûn Halifeleri,,"Abū Bakr 'Atīq, Ibn Abī Quhāfa, al-Siddīq",Abū Bakr,Abū Bakr,Ibn Abī Quhāfa,al-Siddīq,Khalīfa / Amīr al-Mu'minīn,Halife,11,13,632,634,13,634,d. (natural death),Quraysh,Hicaz - Medine,— (Hz. Muhammed),'Umar I,Hz. Peygamber'in kayınpederi (kızı 'Ā'isha'nın babası),Hz. Muhammed'in en yakın sahabelerinden; Ridde Savaşları'nı yönetti,Râşidîn,Sünnî (erken İslam),2,1,Doğal Ölüm,Arap Yarımadası,Arap,Merkezi İmparatorluk,24.47,39.61,7,Evet,Hayır,Babadan Oğula
1-002,1,Râşidûn Halifeleri,,"Abū Hafs 'Umar (I) b. al-Khattāb, al-Fārūq",'Umar I,Abū Hafs,b. al-Khattāb,al-Fārūq,Khalīfa / Amīr al-Mu'minīn,Halife,13,23,634,644,23,644,k. (murdered/assassinated),Quraysh,Hicaz - Medine,Abū Bakr,'Uthmān,Sahabe; kızı Hafsa Hz. Peygamber'in eşi,"Suriye, Filistin, Mısır, Irak, İran fetihleri; dîvân sistemi; 'Amīr al-Mu'minīn' unvanını ilk kullanan",Râşidîn,Sünnî (erken İslam),10,2,Suikast,Arap Yarımadası,Arap,Merkezi İmparatorluk,24.47,39.61,7,Hayır,Hayır,Seçim/Biat
1-003,1,Râşidûn Halifeleri,,"Abū 'Amr or Abū 'Abdallāh or Abū Laylā 'Uthmān b. 'Affān, Dhū 'l-Nūrayn",'Uthmān,Abū 'Amr / Abū 'Abdallāh / Abū Laylā,b. 'Affān,Dhū 'l-Nūrayn,Khalīfa / Amīr al-Mu'minīn,Halife,23,35,644,656,35,656,k. (killed in rebellion),Quraysh - Umayya,Hicaz - Medine,'Umar I,'Alī,Şûrâ (danışma meclisi) ile seçildi,Hz. Peygamber'in damadı (eşi Ruqayya); isyancılar tarafından öldürüldü; fitne kapısı açıldı,Râşidîn,Sünnî (erken İslam),12,3,İsyanda Öldürüldü,Arap Yarımadası,Arap,Merkezi İmparatorluk,24.47,39.61,7,Hayır,Hayır,Seçim/Biat
1-004,1,Râşidûn Halifeleri,,"Abu 'l-Hasan 'Alī b. Abī Tālib, al-Imām al-Murtadā",'Alī,Abu 'l-Hasan,b. Abī Tālib,al-Imām al-Murtadā,Khalīfa / Amīr al-Mu'minīn,Halife,35,40,656,661,40,661,k. (killed by a Khārijī),Quraysh - Hāshim,Irak - Kûfe (Kūfa),'Uthmān,Mu'āwiya I (Emevî),Hz. Peygamber'in amcaoğlu ve damadı (eşi Fâtıma),Başkenti Medine'den Kûfe'ye taşıdı; Sıffîn Savaşı (37/657); Şia'nın ilk imamı; Hâricî tarafından öldürüldü,Râşidîn,Sünnî (erken İslam),5,4,Suikast,Arap Yarımadası,Arap,Merkezi İmparatorluk,24.47,39.61,7,Hayır,Evet,Babadan Oğula
2-001,2,Emevî Halifeleri,Sufyānids,Abū 'Abd al-Rahmān Mu'āwiya I b. Abī Sufyān,Mu'āwiya I,Abū 'Abd al-Rahmān,b. Abī Sufyān,,Khalīfa / Amīr al-Mu'minīn,Halife,41,60,661,680,60,680,d. (natural death),Quraysh - Umayya / 'Abd Shams,Suriye - Şam,— (ilk Emevî halife),Yazīd I,—,Suriye valiliğinden halifeliğe geçti; yirmi yıl hüküm sürdü; sikke bastı (o),Emevî,Sünnî (erken İslam),19,1,Doğal Ölüm,Mısır/Şam,Arap,Merkezi İmparatorluk,33.51,36.29,7,Evet,Hayır,Kurucu
2-002,2,Emevî Halifeleri,Sufyānids,Abū Khālid Yazīd I b. Mu'āwiya,Yazīd I,Abū Khālid,b. Mu'āwiya,,Khalīfa,Halife,60,64,680,683,64,683,d. (natural death),Quraysh - Umayya,Suriye - Şam,Mu'āwiya I,Mu'āwiya II,oğlu,,Emevî,Sünnî (erken İslam),3,2,Doğal Ölüm,Mısır/Şam,Arap,Merkezi İmparatorluk,33.51,36.29,7,Hayır,Hayır,Babadan Oğula
2-003,2,Emevî Halifeleri,Sufyānids,Mu'āwiya II b. Yazīd I,Mu'āwiya II,,b. Yazīd I,,Khalīfa,Halife,64,64,683,684,64,684,d.,Quraysh - Umayya,Suriye - Şam,Yazīd I,Marwān I (Marwānids),oğlu,Kısa süre hüküm sürdü (ephemeral); Sufyānid kolunun sonu,Emevî,Sünnî (erken İslam),1,3,Doğal Ölüm,Mısır/Şam,Arap,Merkezi İmparatorluk,33.51,36.29,7,Hayır,Hayır,Babadan Oğula
2-004,2,Emevî Halifeleri,Marwānids,Abū 'Abd al-Malik Marwān I b. al-Hakam,Marwān I,Abū 'Abd al-Malik,b. al-Hakam,,Khalīfa,Halife,64,65,684,685,65,685,d.,Quraysh - Umayya,Suriye - Şam,Mu'āwiya II,'Abd al-Malik,Emevî ailesinin paralel kolundan,Marwānid kolunun kurucusu,Emevî,Sünnî (erken İslam),1,4,Doğal Ölüm,Mısır/Şam,Arap,Merkezi İmparatorluk,33.51,36.29,7,Hayır,Hayır,Aile İçi
2-005,2,Emevî Halifeleri,Marwānids,"Abu 'l-Walīd 'Abd al-Malik b. Marwān I, Abu 'l-Mulūk",'Abd al-Malik,Abu 'l-Walīd,b. Marwān I,Abu 'l-Mulūk,Khalīfa / Amīr al-Mu'minīn,Halife,65,86,685,705,86,705,d. (natural death),Quraysh - Umayya,Suriye - Şam,Marwān I,al-Walīd I,oğlu,Hanedanın en büyük üç halifesinden biri; yaklaşık yirmi yıl hüküm sürdü; sikke bastı (o),Emevî,Sünnî (erken İslam),20,5,Doğal Ölüm,Mısır/Şam,Arap,Merkezi İmparatorluk,33.51,36.29,7,Hayır,Hayır,Babadan Oğula
2-006,2,Emevî Halifeleri,Marwānids,Abu 'l-'Abbās al-Walīd I b. 'Abd al-Malik,al-Walīd I,Abu 'l-'Abbās,b. 'Abd al-Malik,,Khalīfa,Halife,86,96,705,715,96,715,d.,Quraysh - Umayya,Suriye - Şam,'Abd al-Malik,Sulaymān,oğlu,"Büyük fetihler dönemi: Kuzey Afrika, İspanya, Mâverâünnehir, Sind; sikke bastı (o)",Emevî,Sünnî (erken İslam),10,6,Doğal Ölüm,Mısır/Şam,Arap,Merkezi İmparatorluk,33.51,36.29,8,Hayır,Hayır,Babadan Oğula
