"event_id","name_tr","name_en","date_ce","date_hijri","lat","lon","location_tr","dynasty_id","category","significance","description","narrative_tr","narrative_en","significance_detail_tr","causes_event_id","caused_by_event_id","related_battle_ids","related_scholar_ids"
"1","Hicret","The Hijra","622","1","24.47","39.61","Mekke → Medine","","Dini","Kritik","İslam takviminin başlangıcı; Medine'de ilk İslam devleti","622 yılında Hz. Muhammed ve Mekkeli Müslümanlar, Kureyş'in artan baskısından kaçarak Medine'ye göç etti. Bu göç (Hicret), sadece fiziksel bir yer değiştirme değil, siyasi bir kuruluş anıydı: Medine'de farklı kabileler ve dinî toplulukları bir araya getiren 'Medine Vesikası' ile tarihte bilinen ilk yazılı anayasalardan biri oluşturuldu. Hz. Muhammed burada hem dinî lider hem devlet başkanı olarak yeni bir toplumsal düzen inşa etti. İslam takvimi bu olayı başlangıç noktası kabul eder.","In 622, Prophet Muhammad and the Meccan Muslims migrated to Medina, fleeing Quraysh persecution. This migration (Hijra) was not merely a physical relocation but a political founding moment: in Medina, the 'Constitution of Medina' united diverse tribes and religious communities under one of history's first written constitutions. Muhammad established a new social order as both religious leader and head of state. The Islamic calendar takes this event as its starting point.","Hicret, İslam'ın küçük bir inanç topluluğundan organize bir devlete dönüşümünün başlangıcıdır; bu model sonraki tüm İslam devletlerinin temelini oluşturdu.","47","","1,2,3",""
"2","Kur'ân-ı Kerîm'in Mushaf Haline Getirilmesi","Compilation of the Quran","650","30","24.47","39.61","Medine","1","Dini","Kritik","Hz. Osman döneminde Kur'an'ın standart mushaf haline getirilmesi","Hz. Osman döneminde (650 civarı) Kur'ân-ı Kerîm standart bir mushaf haline getirildi. İslam'ın hızla yayılmasıyla farklı bölgelerde farklı okuma biçimleri ortaya çıkmıştı; bu durum hem dinî hem siyasi birliği tehdit ediyordu. Hz. Osman, Hz. Hafsa'nın nüshasını esas alarak standart bir metin hazırlattı ve kopyalarını büyük şehirlere gönderdi, diğer nüshaların imhasını emretti. Bu karar, İslam'ın kutsal metninin değişmeden korunmasını sağlayan en kritik adımdı.","Under Caliph Uthman (c. 650), the Quran was compiled into a standardized codex. As Islam spread rapidly, variant reading traditions had emerged in different regions, threatening both religious and political unity. Uthman had a standard text prepared based on Hafsa's copy, sent copies to major cities, and ordered the destruction of other versions. This decision was the most critical step in preserving Islam's sacred text unchanged.","Mushaf'ın standartlaştırılması, İslam'ın farklı coğrafyalardaki birliğini koruyan en güçlü bağ oldu ve İslam medeniyetinin entelektüel temelini oluşturdu.","","","",""
"3","Kudüs'ün Fethi","Conquest of Jerusalem","637","16","31.77","35.23","Kudüs (al-Quds)","1","Siyasi","Kritik","Hz. Ömer Kudüs'ü teslim aldı; Ömeriye Ahidnamesi","637'de Hz. Ömer, Bizans'tan teslim alınan Kudüs'e girdi. Patrik Sophronius şehrin anahtarlarını bizzat halifeye teslim etti. Hz. Ömer'in verdiği 'Ömeriye Ahidnamesi', gayrimüslim halkın can, mal ve ibadet güvenliğini garanti ederek İslam fethinin hoşgörü modeli oldu. Hz. Ömer, Hristiyan Kutsal Kabir Kilisesi'nde namaz kılmayı reddederek gelecek nesillerin mabedi camiye dönüştürmesini önledi. Kudüs, İslam'ın üçüncü kutsal şehri olarak yeni bir döneme girdi.","In 637, Caliph Umar entered Jerusalem after its surrender by Byzantium. Patriarch Sophronius personally handed the city's keys to the caliph. Umar's covenant guaranteed the safety of non-Muslim inhabitants' lives, property and worship, establishing a model of tolerance. Umar refused to pray in the Church of the Holy Sepulchre, preventing future generations from converting it into a mosque. Jerusalem entered a new era as Islam's third holiest city.","Kudüs'ün fethi ve Ömeriye Ahidnamesi, İslam hukukunda 'zimmî' statüsünün en önemli tarihsel emsal ve uygulamasıdır.","7","","4",""
"4","Mısır'ın Fethi","Conquest of Egypt","641","20","30.01","31.23","Fustat, Mısır","1","Siyasi","Kritik","Amr b. el-Âs'ın Mısır'ı fethi; Fustat şehrinin kurulması","641'de Amr b. el-Âs komutasındaki İslam ordusu Mısır'ı fethetti. Bizans'ın Monofizit baskısından bunalmış Kıptî halk fethi büyük ölçüde olumlu karşıladı. Amr, Nil deltasının stratejik noktasında Fustat şehrini kurdu — bu şehir daha sonra Kahire'nin çekirdeği olacaktı. Mısır'ın fethi İslam dünyasına devasa tarımsal zenginlik ve stratejik konum kazandırdı: Akdeniz, Kızıldeniz ve Afrika'ya açılan kapı artık müslümanların elindeydi.","In 641, the Islamic army under Amr ibn al-As conquered Egypt. The Coptic population, weary of Byzantine Monophysite persecution, largely welcomed the conquest. Amr founded Fustat at a strategic point on the Nile delta — later the nucleus of Cairo. Egypt's conquest gave the Islamic world immense agricultural wealth and strategic position: the gateway to the Mediterranean, Red Sea and Africa was now in Muslim hands.","Mısır'ın fethi İslam İmparatorluğu'na en zengin tarım havzasını kazandırarak ekonomik gücün Hicaz'dan çok daha büyük bir tabana yayılmasını sağladı.","17","","",""
"5","Dîvân Sisteminin Kurulması","Establishment of the Diwan","637","15","24.47","39.61","Medine","1","Hukuki","Yüksek","Hz. Ömer'in mali ve idari kayıt sistemi","637'de Hz. Ömer, hızla büyüyen devletin mali ve idari işlerini düzenlemek için Dîvân sistemini kurdu. Müslüman vatandaşların ve askerlerin kayıt altına alınması, maaş ve ganimet dağıtımının sistematize edilmesi anlamına gelen bu sistem, Sâsânî ve Bizans idari geleneklerinden esinlense de İslam'ın eşitlikçi ilkelerine göre yeniden tasarlandı. Dîvân, İslam tarihindeki ilk bürokrasi örneğidir ve sonraki tüm İslam devletlerinin idari modelinin temelini oluşturdu.","In 637, Caliph Umar established the Diwan system to organize the rapidly growing state's fiscal and administrative affairs. This meant registering citizens and soldiers, systematizing salary and spoils distribution. Though inspired by Sasanian and Byzantine traditions, Umar redesigned the system according to Islamic egalitarian principles. The Diwan was Islam's first bureaucratic example and formed the administrative model for all subsequent Islamic states.","Dîvân sistemi, göçebe Arap toplumunun kurumsal devlet yapısına geçişinin dönüm noktasıdır.","8","","",""
"6","Emevî Camii İnşası","Construction of Umayyad Mosque","715","96","33.51","36.31","Şam (Damascus)","2","Mimari","Yüksek","İslam mimarisinin ilk büyük başyapıtlarından; Velîd I döneminde","Emevî Camii, Halife I. Velîd döneminde 715'te Şam'da tamamlandı. Roma tapınağı ve ardından Hristiyan kilisesi olan yapının yerine inşa edilen cami, İslam mimarisinin ilk büyük başyapıtı oldu. Altın mozaikleriyle süslü yapı, Bizans zanaatkârları tarafından İslam estetik vizyonuyla inşa edildi. Cami aynı zamanda siyasi bir mesajdı: Emevîler fethettikleri toprakların en prestijli şehirlerinden birinde kalıcı ve görkemli bir İslam varlığı ortaya koyuyordu.","The Umayyad Mosque was completed in Damascus in 715 under Caliph al-Walid I. Built on the site of a Roman temple and later a Christian church, it became the first great masterpiece of Islamic architecture. Decorated with golden mosaics by Byzantine artisans with an Islamic aesthetic vision, the mosque was also a political statement: the Umayyads were establishing a permanent, magnificent Islamic presence in one of their conquered territories' most prestigious cities.","Emevî Camii, İslam mimarisinin Antik ve Bizans geleneğiyle sentezini somutlaştıran ilk anıtsal yapıdır.","","","",""
"7","Kubbetü's-Sahra İnşası","Dome of the Rock Construction","691","72","31.78","35.24","Kudüs","2","Mimari","Kritik","Abdülmelik b. Mervân; İslam'ın ilk büyük anıtsal yapısı","691'de Emevî Halifesi Abdülmelik b. Mervân, Kudüs'teki Harem-i Şerîf alanında Kubbetü's-Sahra'yı inşa ettirdi. Yapı, Hz. Muhammed'in miraca yükseldiğine inanılan kutsal kaya üzerine konumlanan sekizgen planlı bir anıttır. İslam'ın ilk büyük anıtsal yapısı olan Kubbetü's-Sahra, hem Kudüs'ün İslam kimliğini vurgulama hem de Emevî hilafetinin meşruiyetini pekiştirme amacı taşıyordu. Altın kubbesi Kudüs siluetinin en tanınmış unsuru olarak günümüze ulaşmıştır.","In 691, Umayyad Caliph Abd al-Malik ibn Marwan built the Dome of the Rock on the Haram al-Sharif in Jerusalem. The structure is an octagonal monument placed over the sacred rock from which Prophet Muhammad is believed to have ascended to heaven. Islam's first great monumental building, the Dome of the Rock served both to emphasize Jerusalem's Islamic identity and to consolidate Umayyad caliphal legitimacy. Its golden dome remains the most recognizable element of the Jerusalem skyline.","Kubbetü's-Sahra, İslam anıtsal mimarisinin ve epigrafik sanatının başlangıç noktasıdır; yapıdaki Kur'ân kitabeleri bilinen en eski İslam yazıtlarındandır.","","3","",""
"8","Arap Dili Resmî Dil Oldu","Arabization of Administration","696","77","33.51","36.31","Şam","2","Hukuki","Yüksek","Abdülmelik döneminde dîvân dili Arapça'ya çevrildi","696'da Halife Abdülmelik b. Mervân, imparatorluğun resmi dîvân dilini Yunanca ve Farsça'dan Arapça'ya çevirdi. Bu karar yalnızca bürokratik bir düzenleme değil, kültürel bir devrimdi. Artık tüm vergi kayıtları, resmi yazışmalar ve devlet işleri Arapça yürütülecekti. Arabizasyon politikası, farklı dillerin konuşulduğu devasa coğrafyayı ortak bir idari dil etrafında birleştirerek İslam medeniyetinin entelektüel birliğinin zeminini hazırladı.","In 696, Caliph Abd al-Malik ibn Marwan converted the empire's official administrative language from Greek and Persian to Arabic. This was not merely a bureaucratic adjustment but a cultural revolution. All tax records, official correspondence and state affairs would now be conducted in Arabic. The Arabization policy unified a vast geography of different languages around a common administrative tongue, preparing the ground for the intellectual unity of Islamic civilization.","Arapça'nın resmi dil olması, İslam dünyasında ortak bir bilim, edebiyat ve hukuk dili oluşturarak medeniyetin evrensel karakterini mümkün kıldı.","","5","",""
"9","İslam Sikke Reformu","Islamic Coinage Reform","696","77","33.51","36.31","Şam","2","Ekonomik","Yüksek","İlk tamamen İslamî altın ve gümüş sikkeler basıldı","696'da Abdülmelik b. Mervân, Bizans ve Sâsânî sikke modellerini terk ederek tamamen İslamî tasarımlı altın dinar ve gümüş dirhem bastırdı. Üzerinde insan figürü yerine kelime-i şehâdet ve Kur'ân ayetleri bulunan bu sikkeler, İslam'ın ekonomik bağımsızlık ilanıydı. Sikke reformu, İslam dünyasının Akdeniz'den Orta Asya'ya kadar ortak bir para birimi kullanmasını sağlayarak uluslararası ticaretin kolaylaşmasına büyük katkı sağladı.","In 696, Abd al-Malik ibn Marwan abandoned Byzantine and Sasanian coin models, minting gold dinars and silver dirhams with purely Islamic designs. These coins, bearing the shahada and Quranic verses instead of human figures, were Islam's declaration of economic independence. The coinage reform enabled the Islamic world to use a common currency from the Mediterranean to Central Asia, greatly facilitating international trade.","İslam sikke reformu, Müslümanların kendi ekonomik sembolizmini yaratması ve Bizans-Sâsânî para sisteminden kopmasıdır.","","","",""
"10","Endülüs'ün Fethi","Conquest of al-Andalus","711","92","36.13","-5.35","Cebel-i Târık (Gibraltar)","2","Siyasi","Kritik","Târık b. Ziyâd; İslam'ın İber Yarımadası'na girişi","711'de Emevî komutanı Târık b. Ziyâd, Kuzey Afrika'dan geçerek İber Yarımadası'na çıkarma yaptı ve Vizigot Kralı Roderic'i yenilgiye uğrattı. Birkaç yıl içinde yarımadanın büyük bölümü müslüman kontrolüne girdi. Bu fetih, sekiz yüz yıl sürecek 'Endülüs' medeniyetinin başlangıcıydı — Müslüman, Hristiyan ve Yahudi toplulukların birlikte yaşadığı, bilim ve sanatta çağını aşan bir kültür havzası. Cebel-i Târık (Gibraltar) boğazı adını bu komutandan alır.","In 711, Umayyad commander Tariq ibn Ziyad crossed from North Africa to the Iberian Peninsula and defeated Visigothic King Roderic. Within a few years, most of the peninsula came under Muslim control. This conquest was the beginning of the eight-century-long 'al-Andalus' civilization — a cultural basin where Muslim, Christian and Jewish communities coexisted and excelled in science and art beyond their era. The Strait of Gibraltar takes its name from this commander.","Endülüs fethi, İslam medeniyetini Avrupa'nın içine taşıyarak Doğu-Batı kültürel etkileşiminin en verimli kanalını açtı.","40","","11",""
