"dynasty_id","dynasty_name_tr","dynasty_name_ar","dynasty_name_en","parent_tribe_or_clan","ethnic_origin","region_primary","regions_all","capital_city","date_start_hijri","date_end_hijri","date_start_ce","date_end_ce","sub_branch","allied_dynasties","rival_dynasties","predecessor","successor","end_cause","migration_conquest_notes","chapter","notes","ethnic_tags","government_type","religious_orientation","importance_level","capital_lat","capital_lon","duration_years_approx","century_start","century_end","geographic_zone","region_center_lat","region_center_lon","region_bbox_n","region_bbox_s","region_bbox_e","region_bbox_w","governance_detail","religious_detail","military_system","economic_base","cultural_tags","historical_period","narrative_tr","narrative_en","key_contribution_tr","key_contribution_en","rise_reason_tr","fall_reason_tr","context_before_tr","context_after_tr"
"1","Râşidûn Halifeleri","al-Khulafā' al-Rāshidūn","The Rightly-Guided or 'Patriarchal' or 'Orthodox' Caliphs","Quraysh","Arap","Hicaz - Medine (Medina)","Hicaz; Suriye; Filistin; Mısır; Irak; İran; Bahreyn; Umman; Yemen","Medine (Medina); Kûfe (Kūfa) (Ali döneminde)","11","40","632","661","","","Emevîler (Mu'āwiya); Hâricîler (Khārijīs)","Hz. Muhammed (Peygamber dönemi)","Emevî Halifeleri","Hz. Ali'nin Hâricî bir suikastçı tarafından öldürülmesi; Hasan'ın halifelikten çekilmesi","Ridde Savaşları ile Arabistan birliği sağlandı; Suriye, Filistin, Mısır, Irak ve İran fethedildi","Chapter 1: The Caliphs","Dört halife: Ebû Bekir, Ömer, Osman, Ali. Sonraki yüzyıllarda altın çağ olarak idealize edildi.","Arap","Hilafet","","Yüksek","24.47","39.61","29","7","7","Arap Yarımadası","27.0","42.0","38.0","12.0","60.0","25.0","Merkezi İmparatorluk","Sünnî (erken İslam)","Kabile Ordusu","Haraç/Vergi","Sikke","Râşidîn","Râşidûn Halifeleri, Hz. Muhammed'in vefatının ardından İslam ümmetinin ilk siyasi organizasyonunu kuran ve otuz yıl içinde Sâsânî İmparatorluğu'nu tamamen yıkıp Bizans'ı Suriye ve Mısır'dan çıkaran dört halifenin dönemidir. Ebû Bekir ridde savaşlarıyla Arabistan'ın birliğini sağlarken, Ömer fetih dalgasını sistemli bir devlet yapısına dönüştürdü. Osman döneminde Kur'an mushafı standartlaştırıldı; ancak Ali döneminde patlak veren iç savaş (fitne), İslam siyasi tarihinin temel kırılma noktasını oluşturdu.","The Rashidun Caliphate represents the founding political order of the Islamic community after Prophet Muhammad's death, dismantling the Sasanian Empire entirely and expelling Byzantium from Syria and Egypt within three decades. Abu Bakr secured Arabian unity through the Ridda Wars, while Umar transformed the conquests into a systematic state apparatus. Uthman standardized the Quranic text, but the civil strife (fitna) under Ali created the defining political fracture in Islamic history.","İslam devlet geleneğinin kurucu modeli ve fetih hareketinin başlatıcısıdır.","They established the founding model of Islamic governance and initiated the great wave of conquests.","Hz. Muhammed'in vefatı (632) sonrası ümmetin liderlik boşluğu, Ebû Bekir'in bey'at yoluyla halife seçilmesiyle dolduruldu.","Hz. Ali'nin bir Hâricî tarafından suikaste uğraması ve Hasan'ın hilafetten çekilmesiyle Mu'âwiya rakipsiz kaldı; İslam dünyası saltanat ilkesine geçti.","Hz. Muhammed'in kurduğu Medine merkezli İslam toplumu, Arabistan dışına henüz yayılmamıştı; Sâsânî ve Bizans imparatorlukları bölgenin hâkim güçleriydi.","Emevîler iktidarı devraldı; hilafet Medine'den Şam'a taşındı ve İslam devleti bir kabile aristokrasisinin saltanatına dönüştü."
"2","Emevî Halifeleri","al-Umawiyyūn","The Umayyad Caliphs","Quraysh - Umayya / 'Abd Shams","Arap","Suriye - Şam (Damascus)","Suriye; Irak; Mısır; Kuzey Afrika; İspanya; Horasan; Mâverâünnehir; Sind; Ermenistan; Kafkasya","Şam (Damascus)","41","132","661","750","Sufyānids; Marwānids","","Zübeyrîler (Zubayrids); Hâricîler (Khārijīs); Ehl-i Beyt / Alevîler ('Alids); Abbâsîler","Râşidûn Halifeleri","Abbâsî Halifeleri","Abbâsî devrimi (Horasan isyanı, Ebû Müslim liderliğinde)","'Abd al-Rahmān İspanya'ya kaçtı → Endülüs Emevîleri; Kuzey Afrika, İspanya, Mâverâünnehir, Sind fetihleri","Chapter 1: The Caliphs","En büyük üç halife: Mu'āwiya, 'Abd al-Malik, Hishām. Sikke basan halifeler işaretli (o).","Arap","Hilafet","","Normal","33.51","36.29","89","7","8","Mısır/Şam","33.0","30.0","45.0","15.0","75.0","-10.0","Merkezi İmparatorluk","Sünnî (erken İslam)","Kabile Ordusu","Haraç/Vergi","Mimari;Sikke","Emevî","Emevî Halifeleri, İslam devletini bir kabile cumhuriyetinden Akdeniz'den Orta Asya'ya uzanan merkezi bir imparatorluğa dönüştürdü. Mu'âwiya ile kurulan Şam merkezli saltanat, Abdülmelik döneminde Arapçayı resmi dil, İslami dinarı resmi para birimi yaparak devlet kimliğini pekiştirdi. Fetihler İspanya'dan Sind'e kadar genişlerken, mevâlî (Arap olmayan Müslümanlar) sorunu ve Ehl-i Beyt muhalefeti rejimin meşruiyet krizini derinleştirdi.","The Umayyad Caliphate transformed the Islamic state from a tribal republic into a centralized empire spanning the Mediterranean to Central Asia. The Damascus-based dynasty, founded by Mu'awiya, consolidated state identity under Abd al-Malik by making Arabic the official language and minting Islamic coinage. While conquests reached Spain and Sind, the mawali grievances and Ahl al-Bayt opposition deepened the regime's legitimacy crisis.","İslam devletini Arap kimlikli merkezi bir imparatorluğa dönüştürüp idari altyapısını kurdular.","They transformed the Islamic state into a centralized Arab empire and built its administrative infrastructure.","Mu'âwiya'nın siyasi zekâsı ve Suriye ordusunun sadakati, Emevîlere iktidar yolunu açtı.","Horasan'daki Abbâsî devrimi, Ebû Müslim liderliğinde mevâlî ve Arap muhalefetini birleştirerek Emevî iktidarını yıktı.","Hz. Ali'nin öldürülmesi ve Hasan'ın çekilmesiyle sona eren Râşidûn dönemi, merkezî otoritenin zayıfladığı bir iç savaş ortamı bırakmıştı.","Abbâsîler iktidarı devralarak başkenti Bağdat'a taşıdı; Emevî prensi Abdurrahman İspanya'ya kaçarak Endülüs Emevî devletini kurdu."
"3","Abbâsî Halifeleri","al-'Abbāsiyyūn","The 'Abbasid Caliphs","Quraysh - Hāshim (Hz. Peygamber'in amcası al-'Abbās'ın soyundan)","Arap","Irak - Bağdat (Baghdad)","Irak; İran; Suriye; Mısır; Hicaz; Horasan; Mâverâünnehir (başlangıçta); Kahire (sonraki dönem)","Bağdat (Baghdad); Sāmarrā; Kahire (Cairo) (659-923/1261-1517)","132","923","750","1517","Irak ve Bağdat halifeleri; Halep, Harran ve kuzey Suriye halifesi; Kahire halifeleri","Selçuklular (Seljuqs); Memlükler (Mamluks)","Emevîler (İspanya); Fâtımîler (Fatimids); Alevîler ('Alids); Büveyhîler (Būyids)","Emevî Halifeleri","Osmanlı İmparatorluğu (Kahire'nin fethi 923/1517)","Bağdat: Moğol istilası 656/1258; Kahire: Osmanlı fethi 923/1517","Başkent Şam'dan Irak'a (Bağdat) taşındı; 659/1261'de Kahire'de Memlük himayesinde yeniden kuruldu","Chapter 1: The Caliphs","8.-11. yy İslam medeniyetinin altın çağı. Kahire dönemi sembolik/meşruiyet sağlayıcı.","Arap","Hanedan/Beylik","","Yüksek","33.31","44.37","767","8","16","Irak/Cezîre","33.0","40.0","42.0","13.0","75.0","-10.0","Merkezi İmparatorluk","Sünnî Hanefî","Karma Profesyonel","Ticaret/Transit","Kütüphane;Edebiyat;Bilim/Rasathane;Mimari;Sikke","Erken Abbâsî","Abbâsîler, İslam medeniyetinin altın çağını inşa eden ve beş asır boyunca Sünnî dünyanın sembolik merkezi olmaya devam eden hanedandır. Bağdat'ı kurarak onu dönemin en büyük entelektüel ve ticaret merkezine dönüştürdüler; Beytü'l-Hikme'de Antik Yunan, Hint ve Fars bilgi birikimi Arapçaya aktarıldı. Hârûnürreşîd ve Me'mûn dönemleri zirveyi temsil ederken, 10. yüzyıldan itibaren fiili güç Büveyhîler ve Selçuklular gibi askerî hanedanlara geçti. Kahire'deki gölge hilafet dönemi, Memlûk sultanlarına meşruiyet sağlayan sembolik bir işlev üstlendi.","The Abbasids built the golden age of Islamic civilization and remained the symbolic center of the Sunni world for five centuries. They founded Baghdad, transforming it into the era's greatest intellectual and commercial hub where the Bayt al-Hikma translated Greek, Indian, and Persian knowledge into Arabic. The reigns of Harun al-Rashid and al-Ma'mun represented the zenith, while from the 10th century real power passed to military dynasties like the Buyids and Seljuks. The shadow caliphate in Cairo served a symbolic function, legitimizing Mamluk sultans.","İslam medeniyetinin altın çağını inşa ederek bilim, felsefe ve edebiyatta evrensel bir sentez yarattılar.","They built the golden age of Islamic civilization, creating a universal synthesis in science, philosophy, and literature.","Horasan merkezli devrim hareketi, Emevî iktidarına karşı mevâlî hoşnutsuzluğunu ve Ehl-i Beyt sempatisini birleştirerek başarıya ulaştı.","Bağdat kolunu Moğol istilası sona erdirdi (1258); Kahire'deki sembolik hilafet ise Osmanlı fethiyle (1517) son buldu.","Emevî iktidarının son yıllarında mevâlî sorunu, kabile çatışmaları ve Hâricî isyanları imparatorluğu sarsmıştı.","Moğol istilası İslam dünyasının doğusunu harap etti; Mısır'da Memlûkler, Anadolu'da Selçuklu bakiyesi beylikler yeni siyasi merkezler oluşturdu."
"4","Endülüs Emevîleri","Banū Umayya fī al-Andalus","The Spanish Umayyads","Quraysh - Umayya (Marwānid kolu)","Arap","İber Yarımadası - Endülüs (al-Andalus)","İspanya (Kuzey Hristiyan krallıkları hariç); Balear Adaları; Kuzey Afrika'da etkili","Kurtuba (Cordova / Qurtuba); İşbiliye (Seville / Ishbīliya)","138","422","756","1031","","","Fâtımîler (Fatimids); Kuzey İspanya Hristiyan krallıkları; Hammûdîler","Doğu Emevîleri (Abbâsî devriminden kaçış)","Mülûkü't-Tavâif (Taifa beylikleri)","İç çekişmeler; Âmirîd hâciplerin çöküşü; siyasi parçalanma","'Abd al-Rahmān I (al-Dākhil) Abbâsî katliamından kaçarak 138/756'da İspanya'da emirlik kurdu; 92/711'de Müslüman Arap-Berber kuvvetleri Vizigotları yendi","Chapter 2: Spain","'Abd al-Rahmān III (300-350/912-961) 50 yıl hüküm sürdü; halife unvanını aldı. Hâcib İbn Ebî Âmir (al-Mansūr/Almanzor) dönemi önemli. Kurtuba İslam kültür merkezi.","Arap","Hilafet","","Normal","37.88","-4.77","275","8","11","Batı İslam (İspanya/Mağrib)","37.5","-4.0","44.0","30.0","3.0","-10.0","Merkezi İmparatorluk","Sünnî Mâlikî","Karma Profesyonel","Tarım","UNESCO Miras;Mimari;Edebiyat;Bilim/Rasathane","Emevî","Endülüs Emevîleri, Abbâsî katliamından kaçan Abdurrahman'ın İber Yarımadası'nda kurduğu ve İslam Batısı'nın en parlak medeniyetini inşa ettiği hanedandır. Kurtuba, 10. yüzyılda Avrupa'nın en büyük ve en aydınlanmış şehrine dönüşürken, III. Abdurrahman halife unvanını alarak Bağdat'a alternatif bir İslam merkezi yarattı. Müslüman, Hristiyan ve Yahudi toplulukların bir arada yaşadığı convivencia geleneği, Batı entelektüel tarihini derinden etkiledi.","The Umayyads of al-Andalus, founded by Abd al-Rahman fleeing the Abbasid massacre, built the most brilliant civilization of the Islamic West on the Iberian Peninsula. Cordoba became Europe's largest and most enlightened city in the 10th century, while Abd al-Rahman III adopted the caliphal title, creating an alternative Islamic center to Baghdad. The convivencia tradition of Muslim, Christian, and Jewish coexistence profoundly influenced Western intellectual history.","Avrupa'nın kalbinde çok kültürlü bir İslam medeniyeti inşa ederek Batı entelektüel tarihini şekillendirdiler.","They built a multicultural Islamic civilization in the heart of Europe, shaping Western intellectual history.","Abbâsî devriminden sağ kurtulan Emevî prensi Abdurrahman, Kuzey Afrika üzerinden İspanya'ya ulaşarak yerel Arap kabilelerinin desteğini kazandı.","İç çekişmeler ve Âmirîd hâciplerin çöküşü sonrası siyasi otorite parçalanarak onlarca küçük Teyfe beyliğine bölündü.","Abbâsî devrimi Emevî ailesini neredeyse tamamen yok etmişti; İber Yarımadası'ndaki Arap-Berber garnizonları merkezi otoriteden yoksundu.","Mülûkü't-Tavâif dönemi başladı; siyasi parçalanma kültürel canlılığı sürdürse de askerî zayıflık Hristiyan Reconquista'yı hızlandırdı."
"5","Mülûkü't-Tavâif (Teyfe Beylikleri)","al-Mulūk al-Tawā'if","The Mulūk al-Tawā'if or Reyes de Taifas in Spain","Çeşitli (Arap, Berber, Sakalibe)","Arap; Berber; Sakalibe (Slav)","Orta ve güney İspanya","Endülüs geneli; Ceuta; Balear Adaları","Çeşitli (İşbiliye, Gırnata, Tuleytula, Sarakusta, Belensiye vb.)","c. 400","c. 550","c. 1009","c. 1155","1. Hammûdîler (Mâlaga); 2. Hammûdîler (Ceuta); 3. Abbâdîler (İşbiliye); 4. Benî Birzâl (Carmona); 5. Benî Hazrûn (Arcos); 6. Zîrîler (Gırnata); 7. Benî Sumâdih (Meriye); 8. Benî Mücâhid (Dâniye ve Mayorka); 9. Mayorka hükümdarları; 10. Cehverîler (Kurtuba); 11. Kurtuba (Murâbıt-Muvahhid arası); 12. Eftasîler (Batalyevs); 13. Zü'n-Nûnîler (Tuleytula); 14. Âmirîler (Belensiye); 15. Belensiye (Murâbıt-Muvahhid arası); 16. Tücîbîler (Sarakusta); 17. Hûdîler (Sarakusta vb.); 18. Mürsiye hükümdarları","","Murâbıtlar (Almoravids); Muvahhidler (Almohads); Hristiyan İspanya krallıkları","Endülüs Emevîleri","Murâbıtlar (Almoravids)","Murâbıt fethi (çoğu 484/1091 civarı); ikinci dalga Muvahhid fethi sonrasında","Tuleytula 478/1085'te Alfonso VI'ya düştü; Murâbıtlar Zallâka zaferi (479/1086) sonrası neredeyse tüm teyfeleri ortadan kaldırdı","Chapter 2: Spain","39 civarı bağımsız beylik; siyasi parçalanma ile birlikte büyük kültürel parlama dönemi. David Wasserstein'in listesi.","Arap|Berber","Beylik","","Normal","37.38","-5.99","146","11","12","Batı İslam (İspanya/Mağrib)","38.0","-3.5","41.0","36.0","0.0","-7.0","Şehir Devleti","Karışık","Karma Profesyonel","Tarım","Edebiyat;Mimari","Selçuklu Çağı","Mülûkü't-Tavâif, Endülüs Emevî hilafetinin çöküşüyle ortaya çıkan otuzdan fazla küçük beyliğin dönemidir. Siyasi parçalanma askerî zayıflık getirirken, her beylik kendi sarayını bir kültür ve edebiyat merkezine dönüştürme yarışına girdi. Tuleytula'nın 1085'te Alfonso VI'ya düşmesi, İslam Endülüsü'nün geri dönüşsüz toprak kaybının başlangıcı oldu.","The Taifa Kingdoms emerged from the collapse of the Andalusian Umayyad caliphate, producing over thirty independent principalities. While political fragmentation brought military weakness, each court competed to become a center of culture and literature. The fall of Toledo to Alfonso VI in 1085 marked the irreversible beginning of territorial loss for Islamic al-Andalus.","Siyasi parçalanma içinde bile Endülüs kültürel üretimini zirveye taşıyan saray himayeciliği geleneğini sürdürdüler.","They sustained a tradition of court patronage that elevated Andalusian cultural production to its peak even amid political fragmentation.","Emevî hilafetinin çökmesi ve Âmirîd ailenin tasfiyesiyle merkezi otorite tamamen dağıldı.","Murâbıtlar Zallâka zaferinin ardından beylikleri tek tek ilhak ederek Endülüs'ü yeniden birleştirdi.","Endülüs Emevî hilafetinin son yıllarında saray darbesi üstüne darbe yaşanmış, merkezi devlet tamamen çökmüştü.","Murâbıtların Endülüs'ü birleştirmesiyle kısa süreli bir istikrar sağlandı; ancak Hristiyan krallıkların baskısı artarak devam etti."
"6","Benî Gâniye","Banū Ghāniya","The Banū Ghāniya","Sanhāja Berber (Massūfī)","Berber (Sanhāja)","Balear Adaları (Mayorka)","Balear Adaları; Doğu Mağrib (İfrîkıye bölgesinde faaliyetler)","Mayorka (Majorca / Mayūrqa)","520","599","1126","1203","","Murâbıtlar (Almoravids) (soy bağı)","Muvahhidler (Almohads); Aragon Krallığı","Murâbıtlar (Balear Adaları valileri)","Muvahhidler; ardından 627-8/1230-1 Aragon fethi","Muvahhid işgali (600/1203); ardından Aragon Kralı I. Jaume fethi","'Alī b. Ishāq Balear'dan ayrılıp doğu Mağrib'de Muvahhidlere karşı savaştı; Yahyā b. Ishāq İfrîkıye'de uzun süre istikrarsızlık yarattı","Chapter 2: Spain","Murâbıt prensesi Ghāniya'dan isim aldı. Korsanlıkla zenginleşti. 80 yıl Balear'ı kontrol etti.","Berber","Hanedan/Beylik","","Normal","39.57","2.65","77","12","13","Batı İslam (İspanya/Mağrib)","39.5","2.6","40.0","38.5","4.5","1.0","Vasal Devlet","Sünnî Mâlikî","Karma Profesyonel","Deniz Ticareti","","Selçuklu Çağı","Benî Gâniye, Murâbıt hanedanının Balear Adaları'ndaki son kalıntısı olarak seksen yıl boyunca Akdeniz'de bağımsızlığını koruyan küçük ama dirençli bir denizci beyliğidir. Muvahhidlere karşı Doğu Mağrib'de uzun süreli bir gerilla savaşı yürüterek çökmekte olan Murâbıt davasını savundular.","The Banu Ghaniya were the last remnant of the Almoravid dynasty in the Balearic Islands, maintaining independence as a resilient maritime principality for eighty years in the Mediterranean. They waged prolonged guerrilla warfare against the Almohads in eastern Maghreb, defending the declining Almoravid cause.","Akdeniz'de Murâbıt mirasını sürdüren son denizci beyliği olarak Muvahhid hakimiyetine uzun süre direndi.","As the last maritime principality upholding the Almoravid legacy in the Mediterranean, they long resisted Almohad dominion.","Murâbıt hanedanının çöküşü sırasında Balear valileri bağımsızlıklarını ilan ederek deniz gücüne dayandılar.","Muvahhidlerin Balear'ı fethetmesiyle hanedan sona erdi; adalar daha sonra Aragon Krallığı'na geçti.","Murâbıtlar ana karalarını Muvahhidlere kaybetmişti; Balear garnizonları merkezi destekten yoksun kalmıştı.","Muvahhidler Balear'ı kısa süre kontrol ettikten sonra adalar Aragon Kralı I. Jaume tarafından fethedildi."
"7","Nasrîler (Benü'l-Ahmer)","Banū 'l-Ahmar / al-Nasriyyūn","The Nasrids or Banū 'l-Ahmar","Medineli Ensâr soyundan (iddiaya göre)","Arap","Gırnata (Granada)","Granada; Málaga; Almería; kısmen Cádiz, Jaén, Murcia","Gırnata (Granada) - el-Hamrâ (Alhambra)","629","897","1232","1492","","Merînîler (Marinids) (zaman zaman)","Kastilya-León Krallığı; Aragon Krallığı; Merînîler (zaman zaman rakip)","Muvahhidler (Almohads)","İspanya Krallığı (Reconquista)","İspanyol Reconquista; Gırnata'nın 897/1492'de teslimi","Muvahhid çöküşü sonrası güney İspanya'nın dağlık bölgesini ele geçirdi; son Müslüman İspanya devleti; Muhammed XII (Boabdil) 897/1492'de Gırnata'yı teslim etti, ardından Fas'a geçti","Chapter 2: Spain","260 yıl varlığını sürdürdü; Alhambra Sarayı; İbn Haldûn diplomatlık yaptı; Lisânüddin İbnü'l-Hatîb veziri ve tarihçisi. 15. yy'da şiddetli iç çatışmalar. Son dönem kronolojisi Hristiyan kaynaklarından.","Arap","Hanedan/Beylik","","Normal","37.18","-3.59","260","13","15","Batı İslam (İspanya/Mağrib)","37.2","-3.6","38.5","36.5","-1.5","-6.0","Vasal Devlet","Sünnî Mâlikî","Karma Profesyonel","Tarım","UNESCO Miras;Mimari;Edebiyat","Moğol Sonrası","Nasrîler, İslam Endülüsü'nün son kalesi Gırnata'da iki buçuk asır boyunca hüküm sürerek Alhambra Sarayı'nı İslam mimari sanatının en ince örneklerinden biri olarak inşa ettiler. Hristiyan İspanya ile Merînî Fas arasında ustaca denge politikası izleyerek hayatta kaldılar; ancak iç veraset kavgaları ve Kastilya-Aragon birleşmesi karşısında direnemeyerek 1492'de teslim oldular.","The Nasrids ruled Granada for two and a half centuries as the last bastion of Islamic al-Andalus, constructing the Alhambra Palace as one of the finest masterpieces of Islamic architectural art. They survived through masterful balancing between Christian Spain and Marinid Morocco, but internal succession struggles and the Castile-Aragon union rendered resistance futile, leading to their surrender in 1492.","Alhambra Sarayı'nı inşa ederek İslam mimari sanatının en rafine örneklerinden birini dünyaya bıraktılar.","They bequeathed the Alhambra Palace to the world as one of the most refined examples of Islamic architectural art.","Muvahhid çöküşü sonrası Gırnata'nın dağlık coğrafyasını savunma avantajına çevirerek bağımsız bir emirlik kurdular.","Kastilya ve Aragon krallıklarının evlilik yoluyla birleşmesi Reconquista'nın son hamlesini gerçekleştirdi; Gırnata 1492'de teslim oldu.","Muvahhid İmparatorluğu'nun parçalanmasıyla İber Yarımadası'ndaki Müslüman toprakları dramatik biçimde küçülmüştü.","İslam'ın İber Yarımadası'ndaki yedi asırlık varlığı sona erdi; Müslüman ve Yahudi nüfus sürgün ya da zorla din değiştirmeyle karşılaştı."
"8","İdrîsîler","al-Adārisa","The Idrīsids","Ehl-i Beyt (al-Hasan b. 'Alī soyundan)","Arap (Şerif/Hasanî)","Fas (Fas/Fez) ve Kuzey Batı Mağrib","Fas; Kuzey Batı Mağrib; Rif; Volubilis (Walīla)","Fez (Madīnat Fās)","172","375","789","985","Ana kol (Fez); Rif kolu (Hajar al-Nasr); Tamdult kolu","Endülüs Emevîleri (zaman zaman)","Fâtımîler; Miknāsa Berberleri (Mūsā b. Abī 'l-'Āfiya)","","Fâtımî hâkimiyeti; ardından Hammûdîler (İspanya'da uzak kol)","Fâtımî baskısı; Endülüs Emevî müdahalesi; son hükümdar öldürüldü (375/985)","İdris I Hicaz'daki Alevî isyandan kaçarak Kuzey Afrika'ya geldi (169/786); Zanāta Berber reisleri onu lider tanıdı","Chapter 3: North Africa","Mağrib'e Şiîliği getirmeye çalışan ilk hanedan; Fez şehrini kurdu; Şürefa geleneğinin başlangıcı; İslam kültürünün Berberlere yayılmasında önemli","Arap","Hanedan/Beylik","Şiî","Normal","34.03","-5.0","196","8","10","Kuzey Afrika","33.5","-4.5","36.0","30.0","-1.0","-8.0","Kabile Konfederasyonu","Şiî Zeydî","Kabile Ordusu","Ticaret/Transit","Mimari","Erken Abbâsî","İdrîsîler, Abbâsî zulmünden kaçan Ehl-i Beyt soyundan İdris'in Kuzey Afrika'da kurduğu ve Fas şehrini İslam dünyasının batı ucundaki ilk büyük kültür merkezine dönüştürdüğü hanedandır. Mağrib'e İslam'ın sistematik yayılışını başlatarak bölgenin şeriflik geleneğinin temellerini attılar.","The Idrisids were founded by Idris, an Ahl al-Bayt descendant fleeing Abbasid persecution, who established in North Africa and transformed Fez into the first major cultural center at the western edge of the Islamic world. They initiated the systematic spread of Islam in the Maghreb and laid the foundations of the region's sharifian tradition.","Fas şehrini kurarak Mağrib'in İslam kültür merkezi haline getirdiler ve şeriflik geleneğinin temellerini attılar.","They founded the city of Fez, making it the Islamic cultural center of the Maghreb, and laid the foundations of the sharifian tradition.","İdris b. Abdullah, Fah vakasından sonra Hicaz'dan kaçarak Berber kabilelerinin desteğini kazandı ve bağımsız bir devlet kurdu.","Fâtımî baskısı ve Endülüs Emevî müdahalesiyle zayıflayarak siyasi varlıklarını yitirdiler.","Mağrib'de merkezi bir İslam otoritesi yoktu; bölge kabileler arası parçalanmışlık içindeydi.","Fâtımîler ve Endülüs Emevîleri Mağrib'de nüfuz mücadelesine girdi; Fas şehrinin kültürel mirası sonraki hanedanlarca sürdürüldü."
"9","Rüstemîler","al-Rustamiyyūn","The Rustamids","Fars kökenli (uydurma Sâsânî soyu)","Fars","Tahert (Tāhart) - Batı Cezayir","Batı Cezayir; Aurés; Güney Tunus; Cebelinefûsa bağlantıları","Tahert (Tāhart, bugünkü Tiaret yakını)","161","296","778","909","","Endülüs Emevîleri","İdrîsîler; Ağlebîler; Fâtımîler","","Fâtımî fethi","Fâtımî dāʿī Ebū 'Abdallāh'ın Kutāma Berberleriyle saldırısı (296/909)","İbâdî İmam 'Abd al-Rahmān 144/761'de Tahert'i kurdu; trans-Sahra kervan yollarının kuzey terminüsü","Chapter 3: North Africa","Hâricî İbâdiyye mezhebinin merkezi; 'Mağrib'in Irak'ı' lakabı; kozmopolit nüfus; hiç sikke bulunmamış","Karışık/Bilinmeyen","Hanedan/Beylik","Hâricî","Normal","35.38","1.32","131","8","10","Kuzey Afrika","34.5","1.5","36.5","32.0","4.0","-2.0","Teokratik Devlet","Hâricî İbâdî","Kabile Ordusu","Ticaret/Transit","","Erken Abbâsî","Rüstemîler, Hâricî İbâdiyye mezhebinin siyasi merkezi olarak kurulan ve 'Mağrib'in Irak'ı' lakaplı kozmopolit Tahert şehrini inşa eden İran kökenli bir hanedandır. Trans-Sahra ticaret ağına bağlanan konumlarıyla zenginleşirken, mezhepsel hoşgörüsüyle farklı toplulukları bir arada yaşattılar.","The Rustamids were an Iranian-origin dynasty established as the political center of the Kharijite Ibadi school, building the cosmopolitan city of Tahert, nicknamed the 'Iraq of the Maghreb.' They prospered through their connection to trans-Saharan trade networks while maintaining sectarian tolerance that sustained diverse communities.","Hâricî İbâdiyye mezhebinin ilk büyük siyasi merkezini kurarak Kuzey Afrika'da mezhepsel çoğulculuğun erken bir örneğini oluşturdular.","They established the first major political center of the Kharijite Ibadi school, creating an early example of sectarian pluralism in North Africa.","İbâdî toplulukların Mağrib'e göçü ve Tahert'in stratejik ticaret konumu hanedanın temellerini oluşturdu.","Fâtımî davetçisi Ebû Abdullah'ın Kutâma Berberleriyle gerçekleştirdiği fetih, Rüstemî devletini ortadan kaldırdı.","Abbâsî merkezi otoritesinin Mağrib'e ulaşamadığı bir dönemde bölge çeşitli mezhepsel hareketlere açık hale gelmişti.","Fâtımîler İfrîkıye'yi ele geçirerek Kuzey Afrika'nın siyasi haritasını temelden değiştirdi."
"10","Midrârîler","Banū Midrār","The Midrārids","Miknāsa Berberleri","Berber (Miknāsa)","Sicilmâsa (Sijilmāsa) - Güneydoğu Fas","Sijilmāsa; Sahra kenarı","Sicilmâsa (Sijilmāsa)","208","366","823","977","","Rüstemîler (mezhep bağı); Endülüs Emevîleri (geç dönem)","Fâtımîler","","Maghrāwa Berber reisi Khazrūn'un hâkimiyeti","Maghrāwa kabilesi reisi Khazrūn son Midrârî'yi öldürdü (c. 366/977)","Trans-Sahra ticaret geliri; Batı Afrika'dan gelen kervan ticaretinin kuzey terminüsü","Chapter 3: North Africa","Süfrî Hâricî inancı; Muhammad b. Wāsūl Mālikī Sünniliğe geçti ve halife unvanı aldı; buna Fâtımîler tepki gösterdi","Berber","Hilafet","Hâricî","Normal","31.28","-4.28","154","9","10","Kuzey Afrika","31.5","-4.0","33.0","29.0","-2.0","-6.0","Şehir Devleti","Hâricî İbâdî","Kabile Ordusu","Ticaret/Transit","Sikke","Erken Abbâsî","Midrârîler, Trans-Sahra altın ticaretinin kilit kavşağı Sicilmâsa'yı kontrol ederek Batı Afrika ile Akdeniz dünyası arasındaki ekonomik bağlantının bekçiliğini yapan Berber hanedanıdır. Süfrî Hâricî inancından başlayıp zamanla Mâlikî Sünniliğe geçişleri, Mağrib'in mezhepsel dönüşümünün erken bir yansımasıdır.","The Midrarids were a Berber dynasty that controlled Sijilmasa, the key junction of trans-Saharan gold trade, serving as gatekeepers of the economic link between West Africa and the Mediterranean world. Their transition from Sufri Kharijism to Maliki Sunnism reflected an early manifestation of the Maghreb's sectarian transformation.","Trans-Sahra altın ticaretinin stratejik kavşağı Sicilmâsa'yı kontrol ederek bölgeler arası ekonomik bağlantıyı sürdürdüler.","They controlled Sijilmasa, the strategic junction of trans-Saharan gold trade, maintaining interregional economic connectivity.","Miknâsa Berber kabilesinin Sicilmâsa vahası üzerindeki kontrolü ve Trans-Sahra ticaret geliri hanedanı güçlendirdi.","Maghrâwa kabilesi reisi Khazrûn'un son Midrârî hükümdarını öldürmesiyle hanedan sona erdi.","Mağrib'de İslam hakimiyetinin ilk yüzyıllarında çeşitli Hâricî topluluklar bağımsız siyasi yapılar kuruyordu.","Sicilmâsa bölgesel güçlerin el değiştirme noktası olmaya devam etti; Fâtımî ve ardından Murâbıt kontrolüne girdi."
