"battle_id","name_tr","name_en","date_ce","date_hijri","lat","lon","location_tr","dynasty_id_1","role_1","dynasty_id_2_or_enemy","role_2","battle_type","significance","result_summary","related_ruler_ids","narrative_tr","narrative_en","long_term_impact_tr","long_term_impact_en","tactical_note_tr","causes_event_id","caused_by_event_id"
"1","Bedir Savaşı","Battle of Badr","624","2","23.74","38.79","Bedir, Hicaz","","","","","Meydan Muharebesi","Kritik","Müslümanların ilk büyük zaferi; Kureyş ordusuna karşı","","Bedir, İslam tarihinin ilk büyük meydan muharebesidir. 624 yılında Hz. Muhammed komutasındaki 313 kişilik küçük Müslüman kuvveti, yaklaşık bin kişilik Kureyş ordusunu Bedir kuyuları yakınında karşıladı. Sayısal dezavantaja rağmen kazanılan bu zafer, genç Müslüman topluluğuna hem askeri güven hem de siyasi meşruiyet kazandırdı. Kureyş'in ticaret kervanlarına yönelik tehdit algısıyla başlayan çatışma, Arap Yarımadası'ndaki güç dengesini kalıcı biçimde değiştirdi.","Badr was the first major pitched battle in Islamic history. In 624 CE, a small Muslim force of 313 under Prophet Muhammad confronted a Quraysh army of roughly 1,000 near the wells of Badr. Despite being outnumbered, the Muslims secured a decisive victory that gave the young community both military confidence and political legitimacy. What began as a dispute over caravan raiding permanently shifted the balance of power in the Arabian Peninsula.","Bedir zaferi, Medine İslam devletinin meşruiyetini güçlendirerek Arap kabilelerinin İslam'a katılımını hızlandırdı ve altı yıl içinde Mekke'nin fethine giden süreci başlattı.","The victory at Badr consolidated the legitimacy of the Medinan state, accelerated tribal conversions, and set in motion the chain of events leading to the conquest of Mecca within six years.","Hz. Muhammed su kuyularını kontrol altına alarak düşmanı susuz bırakma stratejisi uyguladı; savunma pozisyonu seçimi sayısal dezavantajı dengeledi.","","1"
"2","Uhud Savaşı","Battle of Uhud","625","3","24.5","39.61","Uhud Dağı, Medine","","","","","Meydan Muharebesi","Yüksek","Kureyş karşı saldırısı; kısmî mağlubiyet","","Uhud Savaşı, Bedir'in intikamını almak isteyen Kureyş ordusunun 625'te Medine yakınlarında Müslümanlara saldırmasıyla gerçekleşti. Savaşın ilk safhasında Müslümanlar üstünlük sağladıysa da okçuların Hz. Muhammed'in emrine rağmen mevzilerini terk etmesi, Hâlid b. Velîd komutasındaki Kureyş süvarisine fırsat verdi. Hz. Muhammed yaralandı, amcası Hamza şehit düştü. Bedir'in ardından ilk ciddi askeri ders olarak İslam askeri geleneğinde önemli bir yere sahiptir.","The Battle of Uhud in 625 was Quraysh's counterattack to avenge their defeat at Badr. Though Muslims initially gained the upper hand, archers abandoned their positions against orders, allowing Khalid ibn al-Walid's cavalry to flank the Muslim army. Prophet Muhammad was wounded and his uncle Hamza was killed. While technically a setback, Uhud became a crucial military lesson in discipline that shaped Islamic military doctrine.","Uhud, Müslüman askeri disiplinin önemini göstererek sonraki savaşlarda komuta zinciri ve mevzi sadakatinin temelini attı.","Uhud demonstrated the critical importance of military discipline, establishing principles of chain of command and positional fidelity that shaped subsequent Islamic warfare.","Okçu tepesinin terk edilmesi askeri tarihte 'yan kuşatma' (flank attack) riskinin klasik örneklerinden biri olarak incelenir.","",""
"3","Hendek Savaşı","Battle of the Trench","627","5","24.47","39.61","Medine","","","","","Kuşatma","Yüksek","Medine savunması; koalisyon geri çekildi","","627 yılında Kureyş, Gatafân ve Yahudi kabilelerinden oluşan yaklaşık 10.000 kişilik bir koalisyon ordusu Medine'yi kuşattı. Selmân-ı Fârisî'nin önerisiyle şehrin savunmasız kuzey tarafına hendek kazıldı. Bu taktik Arap savaş geleneğinde görülmemiş bir yenilikti. İki haftalık kuşatma sonunda fırtına ve lojistik sorunlar koalisyonu dağıttı. Hendek Savaşı, Medine'nin savunulabilirliğini kanıtlayarak Kureyş'in son büyük taarruz girişimini başarısız kıldı.","In 627, a coalition of roughly 10,000 Quraysh, Ghatafan and Jewish tribes besieged Medina. On the advice of Salman al-Farisi, a trench was dug along the city's exposed northern flank — an innovation unknown in Arabian warfare. After a two-week siege, storms and logistical failures dissolved the coalition. The Battle of the Trench proved Medina could withstand the largest force Arabia could muster, marking the last major Quraysh offensive.","Koalisyonun başarısızlığı Kureyş'in askeri ve siyasi prestijini kalıcı olarak sarstı; iki yıl içinde Hudeybiye Barışı ve ardından Mekke'nin fethi geldi.","The coalition's failure permanently damaged Quraysh military prestige; within two years came the Treaty of Hudaybiyyah and then the conquest of Mecca.","Hendek savunması, İran kökenli bir kuşatma savunma tekniğinin Arap savaş sahnesine ilk uyarlanmasıdır.","47",""
"4","Yermük Savaşı","Battle of Yarmouk","636","15","32.78","36.02","Yermük Vadisi, Suriye","1","Galip","Bizans","","Meydan Muharebesi","Kritik","Suriye'nin İslam fethini kesinleştirdi","1-002","Yermük, İslam fetih tarihinin en belirleyici meydan muharebesidir. 636'da Suriye'deki müslüman kuvvetleri, Herakleios'un gönderdiği büyük Bizans ordusunu Yermük Vadisi'nde karşıladı. Hâlid b. Velîd'in komutasındaki İslam ordusu, altı günlük bir mücadelenin ardından Bizans kuvvetlerini imha etti. Bu zafer Suriye, Filistin ve sonunda tüm Doğu Akdeniz'in İslam egemenliğine geçişini kesinleştirdi ve Bizans İmparatorluğu'nu kalıcı olarak savunmaya çekilmeye zorladı.","Yarmouk was the most decisive battle of the early Islamic conquests. In 636, Muslim forces met the large Byzantine army sent by Heraclius in the Yarmouk Valley. Under Khalid ibn al-Walid's command, the Islamic army destroyed the Byzantine force after six days of combat. This victory secured Muslim control over Syria, Palestine, and eventually the entire Eastern Mediterranean, permanently pushing Byzantium onto the defensive.","Yermük, Bizans'ın Levant'taki yedi yüz yıllık varlığını sona erdirdi; Suriye ve Filistin kalıcı olarak İslam coğrafyasına katıldı.","Yarmouk ended seven centuries of Byzantine presence in the Levant; Syria and Palestine permanently became part of the Islamic world.","Hâlid b. Velîd mobil süvari rezervini son anda devreye sokarak Bizans'ın geri çekilme hattını kesti — klasik çevirme manevrası.","3",""
"5","Kādisiye Savaşı","Battle of al-Qadisiyyah","636","15","32.05","44.52","Kādisiye, Irak","1","Galip","Sâsânî İmparatorluğu","","Meydan Muharebesi","Kritik","Sâsânî ordusunu yıktı; Irak fethi başladı","1-002","636'daki Kādisiye Savaşı, Sâsânî İmparatorluğu'nun çöküşünü başlatan darbe oldu. Sa'd b. Ebû Vakkâs komutasındaki İslam ordusu, Rüstem-i Ferruhzâd liderliğindeki Sâsânî ordusunu Irak'ın güneyinde yendi. Sâsânîlerin savaş filleri başlangıçta müslümanlarda panik yarattıysa da, gelen takviye birlikler ve şiddetli kum fırtınası savaşın seyrini değiştirdi. Bu zafer tüm Mezopotamya'yı İslam'a açtı ve kadim İran-Arap sınırını ortadan kaldırdı.","The Battle of al-Qadisiyyah in 636 struck the blow that began the collapse of the Sasanian Empire. The Muslim army under Sa'd ibn Abi Waqqas defeated the Sasanian forces led by Rustam Farrukhzad in southern Iraq. Though Sasanian war elephants initially caused panic, reinforcements and a fierce sandstorm turned the tide. This victory opened all of Mesopotamia to Islam and erased the ancient Iranian-Arab frontier.","Kādisiye, İslam dünyasının Mezopotamya'nın zengin tarım topraklarını ve ticaret ağlarını kazanmasını sağladı; Bağdat'ın gelecekteki kuruluşunun coğrafi zeminini hazırladı.","Qadisiyyah gave the Islamic world Mesopotamia's rich agricultural lands and trade networks, preparing the geographic ground for Baghdad's future founding.","Üç gün süren savaşta 'Karanlık Gece' (Leyletü'l-Herîr) adlı gece baskını taktik dönüm noktası oldu.","",""
"6","Nihâvend Savaşı","Battle of Nihavand","642","21","34.19","48.39","Nihâvend, İran","1","Galip","Sâsânî İmparatorluğu","","Meydan Muharebesi","Kritik","Fethu'l-fütûh; Sâsânî İmparatorluğu'nun sonu","1-002","642'deki Nihâvend Savaşı, İslam kaynaklarında 'Fethu'l-Fütûh' (Zaferlerin Zaferi) olarak anılır. Nu'mân b. Mukarrin komutasındaki müslüman ordusu, Sâsânîlerin son büyük ordusunu İran'ın batısındaki Nihâvend'de yendi. Bu zafer Sâsânî İmparatorluğu'nun organize direnişini sona erdirdi. Son Sâsânî şahı III. Yezdicerd doğuya kaçarak yıllarca mücadele ettiyse de, imparatorluk fiilen çökmüştü. İran, İslam medeniyetinin en verimli kültürel havzalarından biri haline gelecekti.","The Battle of Nihavand in 642, called 'Victory of Victories' in Islamic sources, saw the Muslim army under Nu'man ibn Muqarrin defeat the last major Sasanian force in western Iran. This ended organized Sasanian resistance. Though the last shah Yazdegerd III fled eastward and fought for years, the empire was effectively finished. Iran would become one of the most productive cultural basins of Islamic civilization.","Nihâvend, Fars kültürünün İslam medeniyetine entegrasyonunu başlattı; İranlı bürokratlar, edebiyatçılar ve bilginler Abbâsî altın çağının temel taşları olacaktı.","Nihavand initiated the integration of Persian culture into Islamic civilization; Iranian bureaucrats, literati and scholars would become cornerstones of the Abbasid golden age.","İslam komutanları Sâsânî ordusunu dar geçide çekerek sayısal üstünlüğünü etkisiz kıldı.","",""
"7","Cemel Vak'ası","Battle of the Camel","656","36","30.51","47.81","Basra, Irak","1","Galip (Ali)","Muhalefet (Âişe, Talha, Zübeyr)","","İç Savaş","Kritik","İlk fitne; Hz. Ali'nin zaferi","1-004","656'daki Cemel Vak'ası, İslam tarihinin ilk iç savaşıdır. Hz. Osman'ın şehadetinin ardından halife olan Hz. Ali ile Hz. Âişe, Talha ve Zübeyr liderliğindeki muhalefet Basra yakınlarında karşılaştı. Hz. Âişe'nin devesinin etrafında yoğunlaşan çatışma nedeniyle 'Cemel (Deve) Savaşı' adını aldı. Hz. Ali zafer kazandı, ancak bu savaş İslam toplumundaki birliğin kırılganlığını ortaya koydu ve bir yıl sonra Sıffîn'de daha derin bir bölünmeye zemin hazırladı.","The Battle of the Camel in 656 was Islam's first civil war. Following the assassination of Caliph Uthman, the new caliph Ali faced opposition from Aisha, Talha and Zubayr near Basra. Named for the fierce fighting around Aisha's camel, the battle ended in Ali's victory but revealed the fragility of Muslim unity, setting the stage for the deeper split at Siffin a year later.","Cemel, İslam siyasi tarihinde 'fitne' döneminin başlangıcı olarak kabul edilir; halife seçim meselesi yüzyıllar sürecek teolojik ve siyasi tartışmaları doğurdu.","The Camel marked the beginning of the 'fitna' period; the question of caliphal succession would generate theological and political debates lasting centuries.","Devenin etrafında savunma hattı kurulması, Arap savaş geleneğinde 'sembol etrafında birleşme' taktiğinin son büyük uygulamasıydı.","",""
"8","Sıffîn Savaşı","Battle of Siffin","657","37","35.95","38.98","Sıffîn, Suriye (Fırat kıyısı)","1","Belirsiz","Mu'āwiya kuvvetleri","","İç Savaş","Kritik","Ali-Muaviye anlaşmazlığı; tahkim olayı; Hâricîler ayrıldı","1-004","657'de Fırat kıyısındaki Sıffîn'de Hz. Ali ile Muâviye kuvvetleri karşı karşıya geldi. Haftalarca süren mevzi savaşlarının ardından Hz. Ali'nin kuvvetleri üstünlük sağlamak üzereyken, Amr b. el-Âs'ın önerisiyle Muâviye askerleri mızraklarına Kur'ân sayfaları taktı. Bu hamle Müslümanlar arasında savaşın durdurulmasını sağladı ve mesele tahkime (hakeme) bırakıldı. Tahkim sonucu belirsiz kaldı, ancak Hz. Ali'nin ordusundan ayrılan Hâricîler yeni bir siyasi-dinî akım olarak ortaya çıktı.","At Siffin on the Euphrates in 657, the forces of Ali and Mu'awiya clashed. After weeks of positional warfare, as Ali's forces gained the upper hand, Mu'awiya's troops raised Quran pages on their lances at Amr ibn al-As's suggestion. This halted the fighting and led to arbitration. The arbitration proved inconclusive, but the Kharijites who broke from Ali's army emerged as a new politico-religious movement.","Sıffîn ve ardından gelen tahkim, İslam'da üç büyük siyasi-teolojik akımın (Sünnî, Şiî, Hâricî) kesin ayrışmasının başlangıç noktasıdır.","Siffin and the subsequent arbitration marked the beginning of the definitive split between Sunni, Shia, and Kharijite political-theological currents in Islam.","Mızraklara Kur'ân sayfaları takma, savaş tarihinde 'psikolojik savaş' ve 'dini sembolizm' kullanımının en etkili örneklerinden biridir.","",""
"9","Kerbelâ Faciası","Battle of Karbala","680","61","32.62","44.02","Kerbelâ, Irak","2","Galip","Hz. Hüseyin ve taraftarları","","Meydan Muharebesi","Kritik","Hz. Hüseyin'in şehit edilmesi; Sünnî-Şiî ayrılığının derinleşmesi","2-002","680'deki Kerbelâ faciası, İslam tarihinin en trajik ve en etkili olaylarından biridir. Hz. Muhammed'in torunu Hz. Hüseyin, Emevî halifesi Yezîd'in meşruiyetini reddederek Kûfe'ye doğru yola çıktı. Ancak Kûfeliler söz verdikleri desteği göndermedi ve Hüseyin, 72 kişilik küçük grubuyla Fırat kıyısında Emevî ordusunun kuşatmasına uğradı. Susuz bırakılarak şehit edilmesi, Sünnî-Şiî ayrışmasını telafisi güç biçimde derinleştirdi.","The tragedy of Karbala in 680 is one of the most consequential events in Islamic history. Prophet Muhammad's grandson Husayn refused to recognize the legitimacy of the Umayyad caliph Yazid and set out toward Kufa. But the Kufans failed to send promised support, and Husayn's small party of 72 was surrounded by the Umayyad army near the Euphrates. His martyrdom after being denied water irreparably deepened the Sunni-Shia division.","Kerbelâ, Şiî kimliğinin kurucu olayı oldu; Aşûrâ matem geleneği İslam tarihinde kalıcı bir siyasi ve dini sembol haline geldi.","Karbala became the foundational event of Shia identity; the Ashura mourning tradition became a permanent political and religious symbol in Islamic history.","Emevî komutanı Ömer b. Sa'd, su kaynaklarını keserek klasik kuşatma-abluka taktiği uyguladı.","",""
"10","Zâb Savaşı","Battle of the Zab","750","132","35.87","43.74","Büyük Zab Nehri, Irak","3","Galip","2","Mağlup","Meydan Muharebesi","Kritik","Abbâsî devrimi; Emevî Halifeliği'nin sonu","","750'de Büyük Zab Nehri kıyısında Abbâsî kuvvetleri, son Emevî halifesi II. Mervân'ın ordusunu kesin yenilgiye uğrattı. Bu savaş, yarım yüzyıldan fazla süren gizli Abbâsî propagandasının askeri sonucuydu. Özellikle Horasan'daki Ebû Müslim'in topladığı kuvvetler, Emevî ordusunun omurgasını kırdı. Zab, İslam tarihinin en önemli hanedan değişikliğini gerçekleştirdi: Şam merkezli Arap-aristokrat Emevî modeli yerini Bağdat merkezli kozmopolit Abbâsî modeline bıraktı.","At the Great Zab River in 750, Abbasid forces decisively defeated the last Umayyad caliph Marwan II. This battle was the military culmination of over half a century of clandestine Abbasid propaganda. The forces raised by Abu Muslim in Khurasan broke the Umayyad army's backbone. The Zab effected the most important dynastic change in Islamic history: the Damascus-centered Arab-aristocratic Umayyad model gave way to the Baghdad-centered cosmopolitan Abbasid model.","Abbâsî devrimi İslam medeniyetinin kozmopolit altın çağını başlattı; İranlı, Türk ve diğer halklar yönetim ve kültürde eşit rol kazandı.","The Abbasid revolution launched the cosmopolitan golden age of Islamic civilization; Persians, Turks and other peoples gained equal roles in governance and culture.","Abbâsî ordusu Horasan'dan gelen zırhlı piyade ağırlıklıydı ve Emevî hafif süvarisi karşısında üstünlük sağladı.","11",""
