"monument_id","name_tr","name_en","type_tr","type_en","date_ce","city_tr","city_en","lat","lon","dynasty_id","patron_ruler","unesco","status","significance","notes_tr","notes_en","narrative_tr","narrative_en","architectural_detail_tr","historical_context_tr","visitor_note_tr","related_event_ids","related_scholar_ids"
"1","Mescid-i Nebevî","Prophet's Mosque","Cami","Mosque","622","Medine","Medina","24.47","39.61","1","Hz. Muhammed","Hayır","Aktif","Kritik","İslam'ın ikinci kutsal mescidi; birçok kez genişletildi","Second holiest mosque in Islam; expanded many times","Hz. Muhammed'in 622'de Medine'ye hicretinden sonra bizzat inşaatına katıldığı mescit, İslam mimarisinin ilk yapısıdır. Başlangıçta hurma dalları ve kerpiçten basit bir avlu olan mescit, hem ibadet hem yönetim hem eğitim merkezi olarak İslam'ın çok işlevli cami geleneğinin prototipiydi. Yüzyıllar boyunca Emevî, Abbâsî, Memlûk, Osmanlı ve Suudi dönemlerinde sürekli genişletilerek bugünkü devasa yapıya ulaştı.","The mosque Prophet Muhammad personally helped build after the 622 Hijra to Medina is the first structure of Islamic architecture. Originally a simple courtyard of palm branches and mud brick, it served as worship space, government center and school — the prototype of Islam's multifunctional mosque tradition. It was continuously expanded through Umayyad, Abbasid, Mamluk, Ottoman and Saudi periods to reach its current massive scale.","İslam'ın ilk çok işlevli cami modeli; kıble yönünün Kudüs'ten Mekke'ye değiştirildiği yer. Yeşil Kubbe Hz. Muhammed'in kabri üzerindedir.","Hz. Muhammed'in kabri burada olduğu için Hac'dan sonra en önemli ziyaret mekânıdır.","Ravza-i Mutahhara (Hz. Peygamber'in kabri) ziyareti en yoğun saatlerde uzun kuyruklar oluşturur; sabah namazı sonrası en uygun zaman.","",""
"2","Mescid-i Aksâ","Al-Aqsa Mosque","Cami","Mosque","705","Kudüs","Jerusalem","31.78","35.24","2","Abdülmelik / Velîd I","Evet","Aktif","Kritik","İslam'ın üçüncü kutsal mescidi; İsrâ ve Mi'rac","Third holiest mosque; Night Journey destination","Emevî Halifesi Abdülmelik ve oğlu Velîd döneminde inşa edilen Mescid-i Aksâ, İslam'ın üç kutsal mescidinden (Harem-i Şerîf) biridir ve Hz. Muhammed'in İsrâ ve Mi'rac mucizesinin varış noktasıdır. Harem-i Şerîf alanı Kubbetü's-Sahra, Mescid-i Aksâ ve çok sayıda yapıyı barındırır. Kudüs'ün siyasi ve manevi önemi nedeniyle İslam, Hristiyanlık ve Yahudilik için kutsal olan bu alan, tarih boyunca çatışma ve barışın odağı olmuştur.","Built during Umayyad caliphs Abd al-Malik and al-Walid's reigns, al-Aqsa is one of Islam's three holy mosques and the destination of Prophet Muhammad's Night Journey. The Haram al-Sharif compound houses the Dome of the Rock, al-Aqsa and numerous structures. Sacred to Islam, Christianity and Judaism, this area has been a focus of conflict and peace throughout history.","Erken İslam mimarisinin en önemli örneklerinden; depremlerle birçok kez yeniden inşa edildi; 5.000 kişi kapasiteli iç mekân.","İsrâ ve Mi'rac mucizesiyle İslam'ın en kutsal üçüncü mekânı; Haçlı döneminde kilise ve saray olarak kullanıldı.","Harem-i Şerîf ziyareti politik duruma göre kısıtlı olabilir; önceden bilgi alınması önerilir.","",""
"3","Kubbetü's-Sahra","Dome of the Rock","Türbe/Anıt","Shrine","691","Kudüs","Jerusalem","31.78","35.24","2","Abdülmelik b. Mervân","Evet","Aktif","Kritik","İslam'ın ilk büyük anıtsal yapısı; sekizgen plan","First major Islamic monument; octagonal plan","691'de Emevî Halifesi Abdülmelik'in inşa ettirdiği Kubbetü's-Sahra, İslam'ın ilk büyük anıtsal yapısıdır. Hz. Muhammed'in miraca yükseldiğine inanılan kutsal kaya üzerine konumlanan sekizgen planlı yapı, Bizans ve Sâsânî mimari geleneğinden devralınan teknikleri İslam estetiğiyle birleştiren bir manifestodur. Altın kubbesi ve renkli çini süslemeleri Kudüs siluetinin en tanınmış unsuru olarak bin yılı aşkın süredir durmaktadır.","The Dome of the Rock built in 691 by Umayyad Caliph Abd al-Malik is Islam's first great monumental building. Positioned over the sacred rock from which Muhammad ascended to heaven, the octagonal structure is a manifesto combining Byzantine and Sasanian techniques with Islamic aesthetics. Its golden dome and colorful tile decorations have stood as Jerusalem's most recognizable element for over a millennium.","İslam'ın ilk anıtsal yapısı; sekizgen plan Bizans martyria geleneğinden uyarlanmıştır. Yapıdaki Kur'ân kitabeleri bilinen en eski İslam yazıtlarındandır.","Emevî hilafetinin İslam kimliğini ve siyasi gücünü ilan eden ideolojik manifesto; Hristiyan Kudüs'e İslam damgası.","İçeriye giriş Müslüman olmayanlar için kısıtlıdır; dışarıdan fotoğraflamak için sabah erken saatler idealdir.","",""
"4","Emevî Camii (Şam)","Umayyad Mosque (Damascus)","Cami","Mosque","715","Şam","Damascus","33.51","36.31","2","Velîd I","Evet","Aktif","Kritik","İslam mimarisinin ilk başyapıtlarından; mozaikler","One of the first masterpieces of Islamic architecture","715'te Halife I. Velîd'in emriyle Şam'da tamamlanan Emevî Camii, Roma tapınağı ve Vaftizci Yahya Kilisesi'nin yerine inşa edilen İslam mimarisinin ilk büyük başyapıtıdır. Altın mozaikleriyle bezeli avlu duvarları cennet tasvirlerini yansıtır. Bizans zanaatkârları tarafından İslam estetik vizyonuyla oluşturulan bu mozaikler, erken İslam sanatının en değerli örnekleridir. Cami, Emevî hanedanının ihtişam iddiasının mimari ifadesidir.","Completed in 715 in Damascus by order of Caliph al-Walid I, the Umayyad Mosque was built on the site of a Roman temple and church. Its courtyard walls decorated with golden mosaics reflecting paradise depictions were created by Byzantine artisans with Islamic aesthetic vision — among the most valuable examples of early Islamic art. The mosque is the architectural expression of Umayyad dynastic grandeur.","Üç nefli plan sonraki Suriye camilerinin modeli oldu. Mozaikler İslam'da figürsüz dekoratif sanatın erken başyapıtıdır. Vaftizci Yahya'nın başının burada muhafaza edildiğine inanılır.","Müslüman-Hristiyan mekân paylaşımının tarihsel örneği; uzun süre cami ve kilise birlikte kullanıldı.","Öğle namazı vakti atmosfer en yoğundur; mozaikleri görmek için avluyu gün ışığında ziyaret edin.","",""
"5","Hırbet el-Mefcer (Hişâm Sarayı)","Khirbat al-Mafjar","Saray","Palace","743","Eriha","Jericho","31.88","35.46","2","Hişâm / II. Velîd","Hayır","Harabe","Yüksek","Emevî çöl sarayı; zengin stuko süslemeler","Umayyad desert palace; rich stucco decoration","Hişâm veya II. Velîd dönemine (743) tarihlenen Hırbet el-Mefcer, Eriha yakınlarındaki Emevî 'çöl sarayları'nın en süslüsüdür. Hamam, avlu ve kabul salonu içeren kompleks, olağanüstü stuko heykeller ve mozaiklerle bezelidir. Hayat Ağacı mozaiği İslam sanatının en erken figüratif başyapıtlarından biridir. Emevî seçkinlerinin göçebe Arap geleneği ile yerleşik saray kültürü arasındaki geçiş dönemini yansıtır.","Dated to Hisham or al-Walid II's reign (743), Khirbat al-Mafjar near Jericho is the most ornate of the Umayyad 'desert palaces.' The complex with bathhouse, courtyard and reception hall features extraordinary stucco sculptures and mosaics. The Tree of Life mosaic is one of Islamic art's earliest figurative masterpieces. It reflects the transition between nomadic Arab tradition and settled palace culture.","Emevî çöl saraylarının en zengin süsleme programına sahip olanı; stuko heykelleri İslam figüratif sanatının erken cesaretini gösterir.","Emevî aristokrasisinin av, şarap ve eğlence kültürünü yansıtan nadir arkeolojik kaynak.","Eriha'dan kısa mesafede; açık alan ziyareti olduğundan şapka ve su gerekli.","",""
"6","Kayrevan Ulu Camii","Great Mosque of Kairouan","Cami","Mosque","670","Kayrevan","Kairouan","35.68","10.1","2","Ukbe b. Nâfi","Evet","Aktif","Kritik","Kuzey Afrika'nın en eski camii; Mağrib mimarisinin modeli","Oldest mosque in North Africa; model for Maghreb architecture","670'te Ukbe b. Nâfi tarafından kurulan Kayrevan Ulu Camii, Kuzey Afrika'nın en eski camiidir ve Mağrib mimari geleneğinin modelidir. Devasa avlusu, kare planlı minaresi ve at nalı kemerleri Kuzey Afrika ve Endülüs camilerinin prototipini oluşturdu. Mihrabındaki Bağdat'tan getirilen çini paneller, erken İslam sanat ticaretinin delilidir. Kayrevan, İslam'ın dördüncü kutsal şehri olarak kabul edilir.","Founded by Uqba ibn Nafi in 670, the Great Mosque of Kairouan is North Africa's oldest mosque and model of Maghreb architecture. Its massive courtyard, square minaret and horseshoe arches created the prototype for North African and Andalusian mosques. Tile panels from Baghdad in its mihrab evidence early Islamic art trade. Kairouan is considered Islam's fourth holiest city.","Kare minare ve devasa avlu Mağrib cami tipinin kurucu örneği; Kurtuba ve diğer Endülüs camilerine model oldu.","İslam'ın Kuzey Afrika'ya yayılmasının merkez üssü; Kayrevan buradan hareketle Mağrib'in İslamlaşma sürecini yönetti.","UNESCO Dünya Mirası; şehir merkezinde yürüme mesafesinde; sabah ziyareti kalabalıktan kaçınmak için ideal.","",""
"7","Bağdat Yuvarlak Şehir","Round City of Baghdad","Şehir","City","762","Bağdat","Baghdad","33.31","44.37","3","Mansûr","Hayır","Yıkık","Kritik","Abbâsî başkenti; dairesel planlı şehir; Bâbü's-Selâm","Abbasid capital; circular city plan; Gate of Peace","762'de Halife Mansûr'un kurduğu Bağdat 'Yuvarlak Şehir', İslam tarihinin en iddialı şehircilik projesidir. Çift surla çevrili mükemmel daire planlı şehrin merkezinde halifenin sarayı ve büyük cami yer alıyordu. Dört ana kapı dört ana yöne açılarak İslam'ın evrensellik iddiasını simgeliyordu. Moğol istilasında büyük ölçüde yıkılsa da, Bağdat planlı İslam şehirciliğinin kurucu örneği olarak tarih yazımında yerini korur.","Founded in 762 by Caliph al-Mansur, Baghdad's Round City was Islamic history's most ambitious urban project. The perfectly circular city, enclosed by double walls, had the caliph's palace and great mosque at its center. Four main gates opening to cardinal directions symbolized Islam's claim to universality. Though largely destroyed by Mongols, Baghdad remains the founding example of planned Islamic urbanism in historiography.","Mükemmel daire planı antik dünyadan İslam şehirciliğine aktarılan geometrik idealizmin zirvesidir. Dört kapı Horasan, Basra, Kûfe ve Şam yönlerine açılıyordu.","İslam'ın kozmopolit evrensellik iddiasının mimari manifestosu; Abbâsî altın çağının fiziksel altyapısı.","Orijinal yapı günümüze ulaşmamıştır; ancak Bağdat'ta Abbâsî Sarayı kalıntıları ve el-Mustansırıyye Medresesi ziyaret edilebilir.","",""
"8","Sâmarrâ Ulu Camii (Melviye)","Great Mosque of Samarra","Cami","Mosque","851","Sâmarrâ","Samarra","34.21","43.88","3","Mütevekkil","Evet","Harabe","Kritik","Dünyanın en büyük camilerinden; spiral minare (Melviye)","One of world's largest mosques; spiral minaret (Malwiya)","851'de Halife Mütevekkil'in emriyle Sâmarrâ'da inşa edilen Ulu Cami, dönemin en büyük camisiydi. En dikkat çekici unsuru 52 metre yüksekliğindeki spiral Melviye minaresidir — dışarıdan sarmal rampayla tırmanılan bu yapı İslam mimarisinin en ikonik sembollerinden biridir. Antik Mezopotamya zigguratlarından esinlendiği düşünülen minare, Abbâsî gücünün ve yaratıcılığının simgesidir.","Built in 851 by order of Caliph al-Mutawakkil in Samarra, this was the era's largest mosque. Its most striking feature is the 52-meter spiral Malwiya minaret — climbed via an external helical ramp, it is one of Islamic architecture's most iconic symbols. Thought to be inspired by ancient Mesopotamian ziggurats, the minaret symbolizes Abbasid power and creativity.","Spiral Melviye minaresi İslam mimarisinde benzersizdir; Mezopotamya ziggurat geleneğiyle İslam formu arasındaki köprü. 240x156m alan dünyanın en büyük cami planlarından biriydi.","Türk gulâm askerlerinin şehri olarak kurulan Sâmarrâ'nın en gösterişli yapısı; Abbâsî ihtişamının son büyük ifadesi.","UNESCO Dünya Mirası; minarenin rampasından tırmanmak eşsiz deneyimdir; sıcak saatlerden kaçının.","",""
"9","İbn Tolun Camii","Mosque of Ibn Tulun","Cami","Mosque","879","Kahire","Cairo","30.03","31.25","25","Ahmed b. Tolun","Evet","Aktif","Kritik","Kahire'nin en eski camii; Sâmarrâ etkisi; spiral minare","Oldest mosque in Cairo; Samarra influence","879'da Tolunoğlu Ahmed'in emriyle Kahire'de inşa edilen İbn Tolun Camii, şehrin en eski camiidir. Sâmarrâ'daki Melviye minaresinden esinlenen spiral minaresi ve devasa avlusuyla Sâmarrâ etkisini Mısır'a taşır. Tuğla ve stuko teknolojisiyle inşa edilen cami, Abbâsî mimari geleneğinin Mısır'daki en güzel uygulamasıdır.","Built in 879 by order of Ahmad ibn Tulun in Cairo, this is the city's oldest mosque. With its spiral minaret inspired by Samarra's Malwiya and vast courtyard, it brings Samarra's influence to Egypt. Built with brick and stucco technology, the mosque is the finest Egyptian application of Abbasid architectural tradition.","Sâmarrâ etkisinin Mısır'a taşınması; spiral minare ve sivri kemerli revaklar. Avlu 6.500 m² ile Kahire'nin en büyük açık cami alanlarından biridir.","Tolunoğulları'nın Abbâsî'den bağımsızlaşma sürecinin mimari yansıması; Mısır'da İslam mimarisinin ilk özgün örneği.","Kahire'nin en atmosferik camilerinden; gün batımında avlunun ışık oyunu muhteşemdir.","",""
"10","el-Ezher Camii","Al-Azhar Mosque","Cami/Üniversite","Mosque/University","972","Kahire","Cairo","30.05","31.26","27","Cevher es-Sıkıllî","Evet","Aktif","Kritik","Dünyanın en eski üniversitelerinden; hâlâ faal","One of world's oldest universities; still active","970'te Fâtımî komutanı Cevher es-Sıkıllî tarafından kurulan el-Ezher Camii, dünyanın en eski faal üniversitelerinden biridir. Başlangıçta İsmâilî Şiî doktrinin yayılma merkezi olarak tasarlansa da, Eyyûbî ve Memlûk dönemlerinde Sünnî İslam'ın en prestijli eğitim kurumuna dönüştü. Bin yılı aşkın kesintisiz eğitim geleneğiyle İslam dünyasının en yetkili dini-akademik kurumudur.","Founded in 970 by Fatimid commander Jawhar, al-Azhar is one of the world's oldest active universities. Originally designed to spread Ismaili Shia doctrine, it transformed into Sunni Islam's most prestigious educational institution during Ayyubid and Mamluk periods. With over a millennium of uninterrupted teaching, it remains the Islamic world's most authoritative religious-academic institution.","İslam dünyasında kesintisiz eğitim veren en eski kurum. Farklı dönemlerde eklenen minareler ve avlular İslam mimari tarihinin katmanlı bir kronolojisini sunar.","Fâtımî'den Sünnîliğe geçişin en somut örneği; bugün hâlâ İslam dünyasının en etkili fetva otoritesi.","Cuma namazı vakitlerinde cami çok kalabalıktır; mimari detayları görmek için hafta içi sabah ziyareti önerilir.","",""
